"","trim.321ra.gtf","trim.331ra.gtf","trim.336r.gtf","trim.370r.gtf","trim.380r.gtf","trim.410r.gtf","trim.414r.gtf","trim.419r.gtf","trim.468r.gtf","trim.512r.gtf","trim.549r.gtf","trim.568r.gtf","trim.571r.gtf","trim.581r.gtf","trim.586r.gtf","gene"
"Ahyacinthus12867",9.29746867126718,9.43901182813186,9.45125350975839,7.87671115296145,8.87195537399822,8.4996966222441,8.07129480875612,9.47677649708589,9.71659790600696,8.89170129096076,8.47228173284207,8.75138312319942,10.0254779533458,8.92009978686028,9.05073976110124,"Ahyacinthus12867"
"Ahyacinthus12865",8.44566815359036,8.25211827278788,7.44803043776443,10.8293025926228,8.37501067807524,8.16491955273294,7.630247545324,7.97865166957145,7.89190959794196,7.23086356332987,7.95609537449944,8.44510733736604,7.67330540628899,8.66680491333723,8.18469722792535,"Ahyacinthus12865"
"Ahyacinthus04759",9.53189184558639,8.59356911430892,7.72769228904176,9.60382221980861,8.4184777687561,9.60660992771799,10.3316702043782,8.74417904830119,8.3459939003955,8.3288398394981,9.33044992101673,10.9679654540336,6.47174411986686,11.4949745057384,8.21805283680886,"Ahyacinthus04759"
"Ahyacinthus04756",10.4328650173121,9.46837766153298,10.3824981093451,11.2765069882587,9.65278460625383,10.361262826614,10.7610619505454,9.48482477879645,9.34561036364226,10.0086430837792,10.0348497141782,12.1361304105026,9.74783054625807,10.1945339032031,10.4589235462136,"Ahyacinthus04756"
"Ahyacinthus02753",9.33601991431729,9.34557048020787,9.38164323715039,9.7460359452179,8.94128741549935,9.83734846984643,11.485614774285,9.79982256225588,9.46025448826219,9.43470673179509,10.3396958089307,8.75522344393184,9.51462351423842,11.6693322226252,9.0282932459904,"Ahyacinthus02753"
"Ahyacinthus02752",12.6430461201485,12.6706460509292,13.4374074200858,12.4946698846876,13.3506020915633,12.4130796526069,12.0057117406498,12.9119510391745,14.0079567150619,13.7640053049825,12.0598063105409,12.0455132096657,12.6111333381428,12.3950374525201,13.7541636194319,"Ahyacinthus02752"
"Ahyacinthus02759",10.6189029151534,10.3018066709312,11.0120958696795,9.00839793413522,11.0419706471572,10.1368321214942,10.108980731983,10.4607102619458,11.2684279712573,10.8377234420734,10.4946965243939,10.4900841160261,10.8998037001548,9.40563844639779,11.1560753520824,"Ahyacinthus02759"
"Ahyacinthus07632",10.615052778163,10.1608879684805,10.0442397652243,10.9589445211236,9.94193634161191,11.2097328826788,9.92874235362613,10.3746179801134,9.88774942097716,9.69194122525604,9.55551087808463,11.3895120862752,9.59595707067368,11.0583491119755,9.94700777635648,"Ahyacinthus07632"
"Ahyacinthus00069",7.70525710788584,7.53503082264054,7.00063874002204,10.3378872625922,7.00255055526642,8.37789237678355,7.6434103989026,7.54091915969161,7.02948399919346,7.43655477318387,7.80619195784941,7.49131722729807,6.47174411986686,9.87895974558446,6.47174411986686,"Ahyacinthus00069"
"Ahyacinthus08258",9.64873748972672,9.26387424380975,8.82714537597663,10.2903736856451,9.85018803111012,10.1326713924046,9.8402681363971,9.79431268899599,9.28156285291935,9.05935290065025,8.30175787208009,11.6710306791072,8.18320524917585,11.6987292144165,9.21379165020761,"Ahyacinthus08258"
