gene,trim.211r.gtf,trim.218r.gtf,trim.227r.gtf,trim.235r.gtf,trim.236r.gtf,trim.244r.gtf,trim.253r.gtf,trim.61r.gtf,trim.71r.gtf,trim.76r.gtf,trim.82r.gtf,trim.86r.gtf
Peve_00006415,8.6529721,8.351377661,9.465249776,6.391015158,9.665284773,9.177596612,8.910186228,8.248494108,9.231265009,9.556027725,8.539975996,8.085980352
Peve_00006414,7.235654503,7.299456816,7.252916219,6.391015158,7.437499889,6.391015158,6.854347519,7.000132691,6.391015158,6.800283046,6.391015158,7.32045445
Peve_00006416,8.618341286,8.824841269,9.346875583,8.700887451,8.608704246,6.391015158,8.394040785,8.726013482,9.382165212,7.937767658,6.391015158,8.080678235
Peve_00003469,8.104566621,6.868944285,7.958544637,7.698838426,8.354645471,7.530320149,8.137274134,8.873382118,7.054856716,7.761414587,7.421365493,7.645891409
Peve_00003468,8.130066161,7.356826936,7.591015343,8.011943903,7.238169491,7.354362326,8.373167073,8.504617662,6.391015158,8.446760068,7.82016089,7.385261551
Peve_00003467,11.38088227,11.3336028,11.10226527,11.51783769,11.33746366,11.26945645,10.61921732,11.29682225,10.94865377,11.13618617,10.98641653,11.27802158
Peve_00003466,8.565029748,8.037867449,8.221745429,8.796208877,8.233272964,6.391015158,8.181904096,8.813478456,6.391015158,7.71800912,6.391015158,8.518730324
Peve_00003464,7.974688018,7.509088995,8.098033195,6.391015158,7.411740798,8.200773256,8.006732863,7.872308408,6.391015158,6.99566009,9.207853472,7.826216959
Peve_00003462,8.32670581,8.569140782,8.96726009,6.391015158,9.085268397,8.598716847,8.63112695,9.66937031,6.391015158,8.94293088,9.365362949,8.461358426
Peve_00003461,7.136431399,7.955480594,7.199916467,6.391015158,6.391015158,6.391015158,7.126887303,6.391015158,6.391015158,6.391015158,8.445431433,6.837763669
Peve_00003460,8.166219774,9.188164235,8.033090019,6.391015158,7.246201829,6.391015158,8.290867608,6.391015158,6.391015158,6.391015158,9.389967129,7.037304654
Peve_00019718,8.557700362,8.623667708,7.933576267,8.576666266,8.346354885,6.391015158,8.344277547,8.365368722,6.391015158,7.750728873,6.391015158,8.368092043
Peve_00019719,8.128918748,8.627223681,7.839147063,6.391015158,8.646615546,6.391015158,8.571919471,8.194419783,6.391015158,8.239801965,6.391015158,7.707029265
Peve_00001195,9.209460401,9.093443415,8.607225489,8.439406055,8.4953334,7.862897129,8.411664177,9.038695285,6.391015158,7.467719797,9.061370398,8.206689009
Peve_00001194,7.355451525,7.733558561,7.619296332,7.119758605,7.652122421,6.391015158,7.952713778,7.296554642,6.391015158,6.391015158,6.391015158,7.053808447
Peve_00001191,9.606865268,9.083350087,9.023368834,6.391015158,9.215552406,8.44306849,9.344612005,9.434240695,9.041750946,8.14480399,9.437913944,9.54847811
Peve_00001190,10.00652959,9.781658329,8.805225724,9.580477448,10.65107866,10.54803662,10.49306723,10.6872742,9.588660035,9.989067521,10.58540208,10.28053409
