"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_ID","contrast"
387.986746409874,1.10804438232642,0.379791717628548,2.91750538754543,0.00352843553205137,0.0381205028684284,"Ahyacinthus12867","eatenvscontrol"
225.696930474876,-1.86983999242871,0.661365607385015,-2.82724104723544,0.00469509714200658,0.0469584298394596,"Ahyacinthus12865","eatenvscontrol"
611.899013832348,-2.86203022074731,0.643257959423468,-4.44927292203653,8.61614720768312e-06,0.000359822954948381,"Ahyacinthus04759","eatenvscontrol"
1239.5841110009,-1.20434462215734,0.375754512731051,-3.20513681500176,0.00134998295123938,0.019487703152352,"Ahyacinthus04756","eatenvscontrol"
874.463803753814,-1.36579065206039,0.456783349429967,-2.99001847104279,0.00278960577628603,0.0324211544518826,"Ahyacinthus02753","eatenvscontrol"
7946.48912417661,1.11004713718433,0.253313318758734,4.38211122345914,1.1753477684407e-05,0.00046255184800652,"Ahyacinthus02752","eatenvscontrol"
1376.04158709485,0.862822531332145,0.307194836550874,2.80871430333841,0.00497397653508502,0.0488031761796033,"Ahyacinthus02759","eatenvscontrol"
1197.08456546333,-0.942684344834407,0.312205758809408,-3.01943291638604,0.00253248370257132,0.0301776591992269,"Ahyacinthus07632","eatenvscontrol"
167.523770634813,-3.87610159170058,0.941106479393265,-4.11866422830233,3.81074938149642e-05,0.00116694386616854,"Ahyacinthus00069","eatenvscontrol"
895.276780119552,-1.63182146705043,0.517292114064819,-3.15454541579568,0.00160748356931144,0.0219079796631906,"Ahyacinthus08258","eatenvscontrol"
1125.22968308209,-1.52081167536383,0.393076905141911,-3.8689926970265,0.000109285915061922,0.00282118800772326,"Ahyacinthus26589","eatenvscontrol"
1361.31766589317,-0.651685563628636,0.222607587822317,-2.92750831184068,0.00341689927628204,0.0372991019319804,"Ahyacinthus22698","eatenvscontrol"
914.052877937752,0.841698799780074,0.264647159390422,3.18045658120348,0.00147043172428385,0.0205560766169421,"Ahyacinthus17785","eatenvscontrol"
833.028501174222,-2.56989302859928,0.496494280189893,-5.17607781426279,2.26598979077863e-07,1.70963296037972e-05,"Ahyacinthus19776","eatenvscontrol"
1318.85538388707,-2.40594495186434,0.476077444074523,-5.05368397896145,4.33368457179709e-07,2.91676593372685e-05,"Ahyacinthus17605","eatenvscontrol"
7660.27820095551,2.3567816538327,0.77847681209002,3.02742691526715,0.00246645348391613,0.029571069849824,"Ahyacinthus02518","eatenvscontrol"
183.583340501083,2.27005857169142,0.762897759463935,2.97557378237226,0.00292440992754261,0.0334470200758139,"Ahyacinthus16559","eatenvscontrol"
1816.34196654235,1.055958071196,0.323306959089198,3.26611612125758,0.00109033528289186,0.016843459980963,"Ahyacinthus14171","eatenvscontrol"
1036.70474427292,1.38482120107026,0.320233068824218,4.32441660742542,1.52936041664128e-05,0.000569072093996004,"Ahyacinthus13252","eatenvscontrol"
6466.24976658521,1.5598230368214,0.258128504661936,6.0428159178478,1.51447414151798e-09,2.43313633841995e-07,"Ahyacinthus13251","eatenvscontrol"
3346.23959092927,-1.77550142402595,0.454643573711993,-3.90526013494406,9.41240792607236e-05,0.00246709870707186,"Ahyacinthus02650","eatenvscontrol"
1565.06099066165,-1.09008821933862,0.319208958516072,-3.41496750093164,0.000637896220782968,0.0113722072989716,"Ahyacinthus02653","eatenvscontrol"
4064.36823397313,-1.73804098005169,0.424926353898485,-4.09021696137706,4.30969851048324e-05,0.00129064129077103,"Ahyacinthus08433","eatenvscontrol"
4364.29695806886,-1.94934440653586,0.470816723182911,-4.14034657341291,3.46781488804759e-05,0.00108105834039919,"Ahyacinthus03210","eatenvscontrol"
135.875736538457,-1.44633680019129,0.485007816854269,-2.98208966934211,0.00286288133579848,0.0330477662905021,"Ahyacinthus10873","eatenvscontrol"
688.87275907957,-1.45279563226444,0.410300334663978,-3.5408102541623,0.000398900338058625,0.00779310875039855,"Ahyacinthus10870","eatenvscontrol"
1176.90965490991,-0.782706425214441,0.253876516417211,-3.08302018737397,0.00204911253956235,0.0260304007816405,"Ahyacinthus10874","eatenvscontrol"
2846.68857319694,0.666949773025682,0.204423184798921,3.26259359319599,0.00110397712278389,0.0169736116000106,"Ahyacinthus05216","eatenvscontrol"
4872.88822715974,1.42521454041124,0.482257220474304,2.95529953705935,0.00312365617594968,0.0349644661793187,"Ahyacinthus22083","eatenvscontrol"
4013.43655291113,2.44990416964631,0.70816828180791,3.45949434983427,0.000541190631508122,0.010014226644817,"Ahyacinthus05141","eatenvscontrol"
850.105048203543,0.475493450350435,0.150392775293311,3.16167747701364,0.00156863196873534,0.0214856952508022,"Ahyacinthus05146","eatenvscontrol"
930.630680043825,1.46262059235718,0.51648847569422,2.83185523237717,0.00462787961117196,0.0463670755467089,"Ahyacinthus15763","eatenvscontrol"
391.47259283372,-2.25179170851935,0.741094033616631,-3.03846962244497,0.00237783076834291,0.0289481826774001,"Ahyacinthus15768","eatenvscontrol"
824.393934012623,-1.91045208476653,0.554392662278885,-3.44602700352028,0.000568893508704919,0.0104000130587341,"Ahyacinthus16075","eatenvscontrol"
748.629586512435,-1.80128206492524,0.532808227763388,-3.38073244943426,0.000722928982558742,0.0124411909736051,"Ahyacinthus16073","eatenvscontrol"
171.676960941902,1.49413051922785,0.431236900951331,3.46475571995745,0.000530713308668931,0.00985408604240797,"Ahyacinthus04959","eatenvscontrol"
1462.82812018378,-0.792871649554374,0.208785254628568,-3.79754619628146,0.000146135547973747,0.00362182766448182,"Ahyacinthus04956","eatenvscontrol"
