gene,trim.321ra.gtf,trim.331ra.gtf,trim.336r.gtf,trim.370r.gtf,trim.380r.gtf,trim.410r.gtf,trim.414r.gtf,trim.419r.gtf,trim.468r.gtf,trim.512r.gtf,trim.549r.gtf,trim.568r.gtf,trim.571r.gtf,trim.581r.gtf,trim.586r.gtf
Ahyacinthus11330,9.725474864,9.754203654,9.7270395,9.589497642,9.40129343,9.739116465,9.760641808,9.888630066,9.110493955,9.080026822,9.631785709,9.250322973,9.655123524,8.543641435,9.99565345
Ahyacinthus11337,10.40523562,10.27291935,11.59353673,10.3547806,11.18834534,10.1222161,9.515564121,10.80165309,11.012468,10.52325624,9.7314678,10.6413234,11.16126563,9.956030691,10.77949913
Ahyacinthus14120,11.40489413,10.29445518,7.396060794,11.95862759,9.579893851,8.742002601,10.83721678,9.936034258,9.481062723,8.762770548,10.59736482,10.82096736,9.098634032,11.86657904,6.47174412
Ahyacinthus14123,7.696403738,7.597277835,6.47174412,6.47174412,7.228371005,7.479649269,8.476346432,7.671799538,7.977396078,6.47174412,7.700411041,8.617935759,7.386689435,7.369230839,8.035536638
Ahyacinthus11334,9.410056096,10.1584578,9.759113117,8.477572656,9.524645014,10.20774516,9.752057893,10.37339351,9.688667392,10.02813527,9.293937417,9.565793039,9.366678692,6.47174412,10.07041988
Ahyacinthus11339,10.96145516,10.36772265,11.32902254,11.40531174,11.82369446,11.46564505,9.457630835,10.4520406,11.79523097,10.61203802,11.53227177,11.79598721,11.20031643,10.40302569,10.86833002
Ahyacinthus11338,9.05648516,10.44274308,9.976244828,10.294759,10.57536307,11.38616207,10.0721646,9.457035626,11.71387213,10.89368899,11.10283284,11.48016985,10.03573369,9.058521129,10.25390135
Ahyacinthus14128,7.032484777,6.47174412,7.33090389,6.47174412,7.285947093,6.47174412,7.816973922,7.317631292,6.993862966,6.47174412,7.208636972,6.47174412,7.704961737,6.47174412,6.47174412
Ahyacinthus12978,9.19216695,9.415889382,10.02333859,8.986315713,10.86962458,9.914707237,9.16686886,9.950116952,10.7524246,9.991174323,9.930339449,9.763549924,11.11231831,6.47174412,9.580392351
Ahyacinthus12979,10.18422212,10.3003394,9.619208582,8.917824304,9.389519884,9.239108781,9.87564709,10.19694646,9.470697313,9.453852613,9.853833368,8.634853185,10.31479494,6.47174412,9.625251084
Ahyacinthus12970,8.362087015,8.727424282,8.491577553,7.398874469,7.698881996,7.811216921,8.23837956,8.221941242,8.258525887,7.705959243,8.542468033,7.771196997,8.017142006,6.47174412,7.643765523
Ahyacinthus12971,8.178686335,7.299180883,7.86718777,7.523662587,8.075866149,7.328369509,7.45576595,7.14399838,7.739259832,7.48926783,6.965943885,7.670674954,7.559625459,6.47174412,8.057279768
