"","trim.16r.gtf","trim.211r.gtf","trim.218r.gtf","trim.225r.gtf","trim.227r.gtf","trim.235r.gtf","trim.236r.gtf","trim.244r.gtf","trim.253r.gtf","trim.34r.gtf","trim.43r.gtf","trim.61r.gtf","trim.71r.gtf","trim.76r.gtf","trim.82r.gtf","trim.86r.gtf"
"Peve_00030853",0,468,213,0,782,0,564,0,536,0,0,167,0,63,0,169
"Peve_00030858",0,169,194,0,195,0,102,13,145,0,0,74,66,0,0,30
"Peve_00009951",0,151,42,0,233,13,108,36,116,0,0,233,12,89,13,52
"Peve_00009952",76,306,41,24,691,0,38,0,258,0,0,300,0,0,0,91
"Peve_00009957",0,557,233,49,448,0,0,81,131,0,0,567,0,45,2,146
"Peve_00009956",0,23700,1165,0,15112,845,4389,1633,12710,0,0,2292,608,903,181,2238
"Peve_00009959",1085,139265,50326,181,182929,27516,16915,17720,17314,315,0,76373,11082,42956,4093,23518
"Peve_00009958",0,405,200,0,497,0,14,0,322,0,0,135,0,51,0,191
"Peve_00037670",24,1642,445,0,686,475,1399,298,5104,0,0,884,251,658,37,198
"Peve_00015388",0,264,33,0,650,27,769,0,205,0,0,292,23,133,0,43
"Peve_00015503",0,1146,182,0,546,86,372,256,1188,0,0,549,89,114,58,399
"Peve_00028820",82,40,0,0,44,17,22,0,15,0,0,59,0,13,6,0
"Peve_00028822",0,159,146,0,186,0,221,174,305,0,0,0,0,109,0,53
"Peve_00028827",0,606,28,0,491,0,112,0,232,0,0,323,0,120,0,52
"Peve_00028828",0,928,209,0,1136,10,143,141,366,0,0,200,0,142,0,119
"Peve_00015380",0,500,20,0,1159,0,405,257,343,0,0,128,0,118,0,89
"Peve_00042800",0,648,140,0,875,0,362,63,273,0,0,271,0,127,0,89
"Peve_00042801",0,3255,874,9,2203,74,1519,739,1938,0,0,1065,147,551,67,793
"Peve_00031069",0,1503,54,0,3318,94,225,0,506,0,0,446,0,263,18,142
"Peve_00031060",0,151,22,0,318,0,20,135,53,0,0,57,0,44,10,58
"Peve_00031061",0,941,153,0,1126,0,146,0,532,0,0,350,121,232,30,209
"Peve_00031067",52,5213,1401,48,7291,234,2421,653,3567,0,0,2143,42,4987,19,1373
"Peve_00031065",0,98,19,0,403,7,28,127,72,0,0,48,0,33,6,7
"Peve_00008302",24,582,83,0,643,0,66,0,157,0,0,279,35,70,0,176
"Peve_00008301",27,150,14,0,166,0,2,0,41,0,0,66,37,0,0,47
"Peve_00013570",56,543,126,0,858,27,193,104,510,0,0,323,135,108,0,171
"Peve_00028173",0,1277,298,57,1512,129,607,0,490,0,0,328,0,216,64,116
"Peve_00028170",0,789,267,0,447,196,133,217,283,0,0,99,0,80,0,199
"Peve_00028171",0,1139,226,0,742,152,254,333,617,0,0,326,0,192,20,251
"Peve_00028174",0,2207,537,0,944,347,3451,459,3280,0,0,603,306,258,43,633
"Peve_00017269",0,121,4,0,119,0,17,29,24,0,0,63,0,22,4,13
"Peve_00028178",0,238,73,0,273,48,88,42,143,0,0,78,46,27,11,39
"Peve_00019693",0,668,12,0,253,3,46,57,401,0,0,22,28,76,0,82
"Peve_00031936",0,747,98,0,695,0,119,0,489,0,0,149,0,98,0,127
"Peve_00031937",0,206,82,0,128,28,0,0,153,0,0,59,0,14,0,30
"Peve_00031931",0,3063,698,0,1016,233,827,435,944,0,0,676,246,53,0,758
"Peve_00031933",0,548,130,0,78,20,89,158,90,0,0,257,19,157,0,456
"Peve_00031938",0,2423,326,0,864,18,403,229,1214,0,0,851,158,221,57,467
"Peve_00019696",27,214,28,0,45,36,0,0,22,0,0,34,5,15,0,23
"Peve_00000121",0,2116,572,0,1964,348,625,492,998,0,0,1003,160,488,18,309
"Peve_00033819",475,533,0,61,866,0,394,0,239,0,0,751,0,301,0,85
"Peve_00030083",10,2368,235,0,880,60,398,72,478,0,0,357,49,7,18,267
"Peve_00030086",0,175,224,0,1205,55,500,0,135,0,0,282,0,37,7,327
"Peve_00030085",0,177,228,0,1228,47,512,0,138,0,0,283,0,38,7,324
