"","trim.16r.gtf","trim.211r.gtf","trim.218r.gtf","trim.225r.gtf","trim.227r.gtf","trim.235r.gtf","trim.236r.gtf","trim.244r.gtf","trim.253r.gtf","trim.34r.gtf","trim.43r.gtf","trim.61r.gtf","trim.71r.gtf","trim.76r.gtf","trim.82r.gtf","trim.86r.gtf"
"Peve_00020601",0,2459,1494,0,3826,0,1415,883,1263,0,0,1157,533,605,127,771
"Peve_00010392",0,334,112,0,362,0,38,108,75,0,0,122,0,0,0,78
"Peve_00010394",0,599,42,0,371,129,177,0,315,0,0,250,20,60,0,131
"Peve_00027300",0,3200,1183,0,2513,123,571,411,3190,0,0,649,77,238,0,916
"Peve_00022155",330,591,142,58,1160,0,735,135,1172,0,0,426,0,236,44,140
"Peve_00022150",0,1262,572,0,1681,0,1971,605,914,0,0,1098,113,250,0,356
"Peve_00027307",0,546,58,0,164,0,91,126,425,0,0,113,0,66,0,170
"Peve_00027308",0,227,76,0,120,41,76,27,85,13,0,97,21,146,0,15
"Peve_00022158",0,2902,995,0,2260,198,1051,797,3404,0,0,915,260,550,77,921
"Peve_00022159",0,1572,443,0,2321,129,0,484,579,0,0,924,0,232,49,367
"Peve_00012890",450,803,67,37,990,149,1014,0,301,135,0,1829,100,292,22,415
"Peve_00012893",767,12887,2801,95,5579,906,603,1740,1959,91,0,3530,741,1120,133,2096
"Peve_00012897",766,10408,1543,50,6832,678,752,1867,2366,77,0,2462,805,839,120,2289
"Peve_00022481",0,2223,426,0,1739,158,568,0,938,0,0,246,0,321,0,477
"Peve_00037705",0,1199,171,0,470,0,225,348,491,0,0,481,55,275,15,418
"Peve_00037704",960,5007,642,180,8188,425,1964,1232,2790,76,149,2563,180,2153,76,756
"Peve_00037707",0,1400,202,0,1061,54,128,0,393,0,0,234,0,84,30,229
"Peve_00037706",0,376,102,0,248,0,44,0,207,0,0,203,0,24,0,128
"Peve_00037701",0,620,181,0,2254,66,376,298,271,0,0,694,19,622,29,142
"Peve_00037700",0,202,19,0,182,0,85,0,146,0,0,36,62,90,0,56
"Peve_00037703",0,1647,303,0,1315,0,930,272,955,0,0,471,41,177,39,410
"Peve_00037702",0,9151,2189,0,4148,918,4843,1740,6423,0,0,3677,431,1172,185,2664
"Peve_00037709",48,2957,650,0,3253,247,344,235,1166,0,0,1292,0,197,0,523
"Peve_00002415",92,7576,1897,0,10956,460,2915,1173,4608,0,0,3110,702,1144,198,2030
"Peve_00002414",160,9631,2252,0,17182,439,5485,1152,5970,0,0,7154,0,2956,167,1742
"Peve_00002417",0,1232,354,0,1127,84,461,0,986,0,0,490,130,249,14,307
"Peve_00017628",7,172,14,0,103,0,20,40,60,0,0,35,0,5,0,20
"Peve_00017620",273,485,111,0,1065,0,408,122,495,0,0,543,10,301,4,26
"Peve_00011277",375,3544,1297,0,2313,191,1226,846,3918,0,0,1466,391,515,108,1037
"Peve_00011271",0,125,0,0,1573,0,230,98,79,0,0,16,0,305,0,523
"Peve_00011273",141,8176,1338,42,10107,464,2872,1502,5367,0,0,2993,148,1837,126,2101
"Peve_00011272",4,1310,81,0,327,0,373,137,145,8,0,54,0,147,0,26
"Peve_00024657",0,918,63,0,609,56,237,53,403,0,0,246,6,76,33,97
"Peve_00024655",51,2011,709,0,1535,130,546,607,902,30,0,744,77,177,7,511
"Peve_00024659",175,5574,1099,43,9673,200,1332,720,3701,0,0,1574,130,1195,14,1052
"Peve_00002936",58,2472,523,0,2975,0,574,212,1252,0,0,838,0,464,0,320
"Peve_00002934",0,131,47,0,140,70,65,0,67,0,0,60,0,0,0,44
"Peve_00002935",0,158,19,0,61,0,139,0,97,0,0,229,22,9,6,30
"Peve_00002930",0,218,104,0,126,89,99,99,188,0,0,71,0,0,0,104
"Peve_00023359",0,24423,3391,0,12175,985,7703,2100,12761,0,60,3676,528,1394,276,4610
"Peve_00023357",17,819,185,0,774,0,447,240,1074,0,0,318,0,12,0,116
"Peve_00023355",0,593,121,0,203,89,204,0,241,0,0,141,90,102,26,86
"Peve_00023354",348,3786,426,17,4431,0,959,337,1535,0,0,806,0,884,41,526
"Peve_00023353",63,198,29,0,324,3,98,0,271,0,0,42,0,31,6,47
"Peve_00023352",53,879,243,0,622,63,638,193,1428,0,0,76,130,87,0,130
"Peve_00023351",0,4745,596,0,3117,221,1688,629,3734,0,0,2184,70,931,80,1514
"Peve_00023350",0,584,104,0,2453,0,320,0,733,0,0,52,88,265,0,81
"Peve_00026496",0,1231,164,0,1136,60,588,119,25,0,0,808,73,92,0,323
"Peve_00026493",0,2182,238,0,1408,0,365,401,0,0,0,261,172,374,0,467
"Peve_00026491",0,99,12,0,56,28,49,0,81,0,0,126,0,0,0,33
"Peve_00026490",0,119,111,0,93,143,59,269,36,0,0,182,95,144,45,90
"Peve_00010632",0,382,0,0,550,66,40,236,50,0,0,75,0,82,0,41
"Peve_00010630",0,5478,917,97,3982,225,1024,444,1748,0,0,822,91,173,25,1019
"Peve_00010631",3304,3094,476,316,5407,0,2639,594,2321,495,33,2464,137,1016,17,428
"Peve_00025217",0,341,133,0,550,0,335,0,220,0,0,246,43,75,0,140
"Peve_00015579",82,1417,561,0,4781,223,401,506,862,0,0,693,70,421,29,539
"Peve_00012700",0,547,147,0,295,0,172,0,420,0,0,240,0,13,35,70
"Peve_00015570",0,973,274,0,800,62,0,184,338,0,0,179,135,162,18,152
"Peve_00015577",0,1973,400,0,1046,133,556,79,1107,0,0,303,0,162,39,402
"Peve_00015575",2495,5773,774,158,5519,542,1697,935,2598,118,78,2937,200,1579,102,996
"Peve_00022976",0,3228,779,0,7526,216,732,701,0,0,0,1291,364,413,46,937
"Peve_00039074",0,286,88,0,327,0,75,0,169,0,0,62,0,43,0,79
"Peve_00018441",0,182,43,0,316,0,46,167,298,0,0,93,46,48,0,0
"Peve_00044181",0,750,137,0,794,0,341,53,685,0,0,182,0,98,0,215
"Peve_00041356",558,2158,329,63,2687,0,1181,198,1319,43,43,1053,0,542,21,246
"Peve_00041355",0,3125,969,0,2623,317,443,1141,2179,0,0,1799,236,593,150,728
"Peve_00041354",130,785,299,31,759,80,108,326,99,0,28,598,47,87,16,37
"Peve_00044189",0,680,269,0,610,112,595,80,414,0,0,292,52,96,19,122
"Peve_00044188",20,9473,2189,0,5910,1205,2196,1167,6785,0,0,4865,802,1513,195,4588
"Peve_00041359",0,311,39,0,102,0,140,0,69,0,0,82,0,27,0,14
"Peve_00041358",0,478,133,0,272,0,111,0,160,0,0,53,0,72,4,142
"Peve_00021443",0,2373,450,0,3446,71,3620,315,1404,0,0,936,0,709,24,463
"Peve_00021447",63,5519,2825,0,21071,390,123,443,485,0,0,9926,594,269,296,5395
"Peve_00017369",0,195,0,0,472,0,209,113,64,0,0,33,20,136,9,158
"Peve_00017367",0,791,166,0,1640,0,175,101,1274,0,0,236,0,20,0,141
"Peve_00022156",0,13104,2331,0,8416,537,3717,1429,7221,0,0,5892,263,732,129,2842
"Peve_00027301",60,4659,1002,0,5031,305,3922,840,2472,0,0,1899,147,363,42,1715
"Peve_00003139",0,1300,845,0,3502,270,951,253,997,0,0,1267,154,86,40,915
"Peve_00003138",0,1272,117,0,753,93,295,67,892,0,0,352,126,88,0,159
"Peve_00014626",0,713,176,0,231,107,135,264,366,0,0,233,0,81,0,184
"Peve_00014621",0,436,108,0,318,19,0,0,64,0,0,107,0,59,29,136
"Peve_00014620",0,195,9,0,133,34,42,0,141,0,0,65,0,43,0,38
"Peve_00014623",0,381,147,0,439,0,109,0,168,0,0,95,0,30,12,54
"Peve_00014622",0,1291,381,0,1049,36,1429,133,115,0,0,531,52,92,15,369
"Peve_00022152",0,1257,146,0,656,0,135,0,367,0,0,176,56,137,13,67
"Peve_00003132",0,824,243,0,634,0,84,0,243,0,0,167,0,167,0,212
"Peve_00027306",0,390,111,0,85,81,107,20,200,0,0,120,0,33,14,185
"Peve_00022151",0,565,154,0,472,43,219,94,191,0,0,232,12,157,0,127
"Peve_00018836",0,1064,151,0,2157,0,540,0,682,0,0,533,0,300,0,261
"Peve_00003687",0,595,262,0,603,214,164,115,755,0,0,409,0,94,0,146
"Peve_00003686",0,792,102,0,810,0,103,49,176,0,0,409,0,211,0,85
"Peve_00003685",516,1205,0,96,1249,133,642,171,497,137,42,555,0,505,0,94
"Peve_00003683",0,1632,422,0,1279,0,692,430,2086,0,0,549,92,169,15,436
"Peve_00003682",0,108,51,0,669,0,239,142,854,0,0,361,0,8,0,159
"Peve_00016704",43,247,86,0,1514,0,131,251,24,0,0,1161,0,176,0,211
"Peve_00016706",0,871,360,0,2541,143,653,284,1747,48,0,781,180,329,8,1294
"Peve_00016707",0,320,111,0,558,60,48,387,82,0,0,268,124,131,0,324
"Peve_00016702",0,2850,378,0,3850,296,583,174,1254,0,0,954,66,825,76,409
"Peve_00003688",0,820,252,0,766,53,622,298,853,0,0,323,0,116,0,306
"Peve_00044455",0,491,139,0,182,0,0,79,161,0,0,162,0,37,8,126
"Peve_00044454",0,672,120,0,558,6,40,363,901,0,0,307,66,131,47,405
"Peve_00044453",0,427,98,0,294,0,136,0,273,0,0,186,0,76,0,89
"Peve_00044452",0,337,205,0,273,0,425,0,211,0,4,406,0,63,0,151
"Peve_00044451",394,13684,3292,0,19318,833,2966,1404,5691,102,0,2193,623,1498,156,2696
"Peve_00044450",0,1750,198,0,1374,0,601,484,1428,0,0,560,0,221,19,334
"Peve_00042118",1216,10741,2881,324,14334,755,8205,1679,11821,0,0,4057,617,128,126,2433
"Peve_00045329",0,3900,676,0,4309,84,758,0,1603,0,0,727,149,99,12,449
"Peve_00042110",0,1779,265,0,1564,83,530,291,450,0,0,601,10,239,33,243
"Peve_00045327",155,2249,469,0,559,0,96,96,444,0,0,285,83,117,0,377
"Peve_00042117",120,528,52,0,758,25,145,100,358,0,0,190,0,102,27,65
"Peve_00000798",0,611,85,0,310,0,203,130,306,0,0,235,0,0,0,112
"Peve_00000799",0,37,18,9,105,15,135,65,60,0,0,72,27,41,20,12
"Peve_00000790",0,57,36,0,177,0,25,0,174,0,0,48,0,47,0,32
"Peve_00000791",0,926,224,0,1761,0,579,63,763,0,0,476,0,218,0,214
"Peve_00000792",65,6474,1226,0,7402,449,3571,935,5115,0,0,5102,482,1534,151,2043
"Peve_00000793",0,9897,1889,0,6609,170,5108,962,3555,0,0,1634,38,168,49,832
"Peve_00043865",0,1364,165,0,587,0,238,0,746,0,0,414,108,52,19,261
"Peve_00004480",0,2489,992,0,2835,420,1982,330,2131,0,0,2006,252,553,96,739
"Peve_00004483",58,2764,607,0,2126,158,450,302,922,0,0,551,82,40,15,386
"Peve_00004485",0,331,162,0,421,0,25,67,290,0,0,196,72,57,0,144
"Peve_00004486",0,3276,176,0,2359,145,1487,136,1045,0,0,389,83,219,0,375
"Peve_00004487",26,2544,441,0,2304,240,578,377,1232,0,0,908,0,219,37,575
"Peve_00039628",0,786,75,0,466,65,0,0,0,0,0,154,22,131,36,112
"Peve_00009160",616,1405,166,159,2559,68,1227,266,1055,17,0,837,11,350,12,323
"Peve_00009161",45,704,282,0,601,44,326,112,507,0,0,229,175,167,0,100
"Peve_00009162",92,2631,465,0,2060,41,1220,152,1858,0,0,698,0,358,0,557
"Peve_00009164",0,1299,105,0,585,87,182,145,557,0,0,324,114,91,7,305
"Peve_00009165",0,48,23,0,25,0,0,33,9,0,0,55,0,43,44,25
"Peve_00018623",52,1929,251,0,1686,50,381,482,1096,0,0,667,0,178,14,338
"Peve_00018622",0,531,37,0,383,62,92,78,429,0,0,123,0,70,20,104
"Peve_00018624",170,20137,3391,61,23521,1680,26093,3356,23920,129,0,9330,978,4024,296,3669
"Peve_00039167",0,6126,1803,0,3024,518,2983,893,4652,0,0,2131,581,1387,115,1759
"Peve_00039166",0,1222,226,0,1164,0,206,0,1057,0,0,387,0,158,0,297
"Peve_00043241",386,5805,880,0,2625,157,2790,1105,4321,0,46,1524,177,592,44,1659
"Peve_00043240",9,241,56,0,324,0,231,97,121,0,0,25,50,63,8,36
"Peve_00039160",0,2176,549,0,1199,185,901,676,1407,0,0,1427,0,342,43,575
"Peve_00038410",0,1956,591,0,787,126,737,391,1038,0,0,858,198,408,38,917
"Peve_00034701",0,711,375,0,900,113,241,0,315,0,0,214,31,119,0,48
"Peve_00034704",0,260,41,0,488,0,0,128,69,0,0,166,0,38,0,128
"Peve_00034705",0,683,61,0,275,0,242,121,435,0,0,144,0,3,0,133
"Peve_00003917",0,843,118,0,1064,125,180,0,562,0,0,268,0,117,0,160
"Peve_00003916",0,3185,1013,26,1166,179,1270,330,770,0,0,969,68,228,58,1010
"Peve_00003915",422,32535,4248,100,39725,1317,43881,4284,28362,78,106,16187,926,13161,287,4811
"Peve_00003914",0,990,100,0,292,30,91,7,347,0,0,215,0,243,0,61
"Peve_00003913",0,150,22,0,553,0,129,0,292,0,0,78,0,30,1,35
"Peve_00003911",0,685,119,0,382,197,12,75,174,0,0,210,35,60,0,75
"Peve_00040747",0,1724,381,0,1538,0,410,391,742,0,0,559,0,93,0,383
"Peve_00040745",0,312,75,0,2776,0,178,112,47,0,0,511,0,60,12,224
"Peve_00040743",0,20,44,0,153,0,686,35,307,0,0,49,0,0,0,69
"Peve_00040741",0,501,118,0,394,0,978,133,334,0,0,160,0,71,2,102
"Peve_00040740",0,122,39,0,63,0,65,0,110,0,0,130,0,11,0,51
"Peve_00040748",0,701,177,0,642,0,109,82,255,0,0,322,0,111,39,271
"Peve_00006240",0,0,317,0,378,0,201,79,628,0,0,294,0,0,15,52
"Peve_00006241",0,1629,326,0,630,0,0,0,27,0,0,464,41,75,0,119
"Peve_00006243",0,239,62,0,51,0,56,0,126,0,0,139,0,86,0,24
"Peve_00006245",0,1252,491,0,1900,250,838,139,941,0,0,765,114,251,0,449
"Peve_00006246",284,2486,170,0,1721,128,777,154,1828,73,0,699,0,242,0,242
"Peve_00006247",0,6977,1052,0,7433,407,3057,1185,5614,0,0,6753,525,1180,250,2065
"Peve_00006248",0,2790,899,0,2044,230,1204,467,2008,0,0,1167,137,453,80,785
"Peve_00008155",0,229,21,0,173,0,47,0,92,0,0,48,0,19,13,12
"Peve_00008152",19,314,34,0,1333,0,0,0,27,0,0,61,0,86,0,43
"Peve_00004761",0,657,80,0,704,111,123,79,252,0,0,273,0,40,17,224
"Peve_00008151",29,1006,45,0,1274,0,412,111,418,0,0,179,0,50,0,110
"Peve_00034160",47,1235,126,0,1003,37,600,315,0,0,0,587,0,0,0,308
"Peve_00041834",87,1942,333,0,2090,142,202,0,789,0,0,507,0,139,16,195
"Peve_00041831",0,502,88,0,509,0,367,60,401,0,0,348,0,119,12,75
"Peve_00041838",0,0,90,0,189,0,0,93,167,0,0,51,0,57,22,31
"Peve_00009987",0,1236,223,0,822,0,145,109,1110,0,0,484,0,312,20,180
"Peve_00009984",0,217,65,0,240,0,139,0,212,0,0,239,0,71,0,29
"Peve_00009985",0,564,98,0,340,52,255,0,599,0,0,189,0,85,23,148
"Peve_00009982",0,3986,673,0,5333,178,1122,523,2250,0,0,1821,202,1161,28,1330
"Peve_00009980",0,1254,277,0,889,0,271,362,491,0,0,465,0,107,29,319
"Peve_00006468",132,1702,222,0,2065,152,310,343,1036,0,0,223,108,217,0,317
"Peve_00009988",70,575,73,0,1146,0,362,0,531,0,0,302,0,156,0,158
"Peve_00009989",0,615,101,0,982,0,284,187,371,0,0,440,0,154,27,105
"Peve_00007113",29,281,37,38,1022,0,77,0,315,24,0,93,15,54,3,39
"Peve_00007112",50,276,101,10,914,97,47,0,190,0,0,152,3,81,3,68
"Peve_00007114",0,190,75,0,84,0,317,0,642,0,0,19,0,57,0,71
"Peve_00007119",41,84,0,26,10,36,509,0,157,0,0,154,0,55,29,42
"Peve_00007118",70,33,47,0,526,0,174,0,147,0,0,43,18,30,10,120
"Peve_00035894",0,1081,354,0,640,117,206,410,542,0,0,214,0,128,26,253
"Peve_00035892",1893,20640,3099,172,20390,857,12882,2469,14772,0,0,8035,530,2289,265,4388
"Peve_00007809",113,3086,706,0,3368,0,897,468,1999,0,0,919,69,271,59,531
"Peve_00007808",0,305,44,0,247,0,171,0,164,0,0,129,0,82,0,52
"Peve_00007807",0,2781,737,0,1958,164,668,230,770,0,0,741,34,295,55,621
"Peve_00007801",0,841,124,0,1618,0,116,0,171,0,0,301,22,136,0,174
"Peve_00007803",16,321,37,29,1405,33,44,0,180,0,0,14,0,76,0,85
"Peve_00007802",0,763,120,0,743,0,0,0,511,0,0,132,0,68,35,142
"Peve_00035272",0,64,0,0,2114,0,0,203,100,0,0,1320,59,0,14,2883
"Peve_00019232",1462,10610,1400,166,27791,840,11168,2436,12122,0,81,6838,528,3799,63,1427
"Peve_00019237",0,298,52,0,519,76,331,39,367,0,0,306,0,61,0,36
"Peve_00019236",0,114,77,0,481,79,64,0,234,0,0,137,0,12,17,15
"Peve_00003452",0,34,13,0,84,0,91,55,170,0,0,32,0,123,0,19
"Peve_00003451",0,415,236,0,464,0,524,234,781,0,0,610,103,636,17,143
"Peve_00023685",46,573,94,0,560,110,99,0,258,0,0,414,0,47,0,130
"Peve_00028183",0,2409,541,0,2831,91,1403,422,2194,0,0,1041,291,681,20,560
"Peve_00028182",182,1029,255,82,1223,0,598,195,904,0,0,462,0,111,0,388
"Peve_00028187",0,1192,208,0,1392,0,1339,233,1081,0,0,509,0,301,0,170
"Peve_00028186",0,1795,532,0,1549,254,686,647,1290,0,0,865,244,315,92,646
"Peve_00028185",69,7906,1528,0,6777,387,1871,747,4714,0,0,2557,280,676,98,1490
"Peve_00028184",30,180,4,0,483,0,206,85,54,0,0,181,0,17,21,62
"Peve_00028189",0,1026,422,0,530,0,319,0,754,0,0,317,165,97,0,404
"Peve_00028188",0,6270,1122,0,5010,457,2362,1301,4427,47,78,3830,411,1494,202,2300
"Peve_00023464",0,1742,708,0,1505,147,1225,0,1424,0,0,1003,193,331,31,278
"Peve_00005533",0,302,17,20,166,0,126,0,0,0,0,34,0,21,0,53
"Peve_00005532",0,229,66,0,91,11,0,85,3,0,0,13,0,28,0,65
"Peve_00001169",0,750,327,0,825,127,190,125,698,0,0,251,90,48,32,239
"Peve_00036161",812,8743,1159,123,10930,284,5147,800,3815,25,0,4346,177,4264,93,1476
"Peve_00001160",3613,11758,1248,183,21962,336,3167,996,4944,0,115,3357,357,1731,212,2475
"Peve_00001161",0,471,122,0,894,16,242,0,325,0,0,186,0,228,0,108
"Peve_00001162",0,721,283,0,616,0,718,129,695,0,0,134,0,83,14,185
"Peve_00012270",0,2500,357,0,1503,252,1181,65,1845,0,0,666,27,549,69,343
"Peve_00012271",116,4960,958,0,4748,85,1311,591,2506,0,0,1503,176,764,47,1064
"Peve_00012272",122,2233,351,37,2638,234,458,192,1313,0,0,807,186,148,32,388
"Peve_00012273",290,7917,1913,98,6874,714,3843,1630,7536,20,0,3244,501,608,114,1992
"Peve_00012274",0,759,133,0,980,84,337,0,492,0,0,201,0,119,0,108
"Peve_00030588",0,2339,932,0,1598,159,1368,620,1589,0,0,988,176,399,105,872
"Peve_00012278",0,3155,968,0,3664,291,2595,359,4149,0,0,1498,374,543,56,1142
"Peve_00012279",0,814,77,0,459,0,174,0,512,0,0,453,28,31,0,99
"Peve_00030584",0,1150,141,0,632,0,303,112,455,0,0,399,0,247,0,135
"Peve_00032899",0,117,0,0,70,0,33,26,138,0,0,67,0,21,0,11
"Peve_00030583",0,925,227,0,860,38,284,61,707,0,0,562,0,98,0,301
"Peve_00030580",0,6504,2070,0,7633,598,4508,1949,4188,0,0,5239,453,1312,135,1950
"Peve_00038358",0,943,261,0,684,118,0,252,560,0,0,82,0,193,0,369
"Peve_00038353",17,140,33,0,122,0,92,44,53,0,0,27,25,14,8,51
"Peve_00038355",0,234,52,0,351,13,220,0,360,0,0,208,0,115,3,40
"Peve_00031986",0,1047,247,0,1093,0,177,283,498,0,0,503,55,61,41,241
"Peve_00031981",0,1054,170,0,569,0,269,199,520,0,0,154,38,0,43,130
"Peve_00030634",80,28,45,0,134,0,0,189,0,0,0,45,0,17,0,34
"Peve_00030635",0,587,117,0,967,154,0,234,71,0,0,169,0,183,0,132
"Peve_00030637",0,650,189,0,321,54,97,0,357,0,0,175,0,0,0,140
"Peve_00030633",0,1079,142,0,1602,110,0,111,21,0,0,206,0,133,4,534
"Peve_00030638",0,815,97,0,558,41,231,189,481,0,0,183,0,77,11,116
"Peve_00030639",0,1319,0,0,60,0,433,210,361,42,0,1277,64,150,0,762
"Peve_00033583",0,916,146,0,924,82,457,0,426,0,0,332,0,142,0,172
"Peve_00033582",0,299,116,0,225,0,194,0,396,0,0,175,0,107,37,83
"Peve_00033580",0,476,146,0,272,25,153,0,181,0,0,295,0,50,0,134
"Peve_00033586",155,6009,2625,0,4657,336,1271,1275,5996,9,0,3700,1042,1577,260,1563
"Peve_00033585",0,3614,274,0,2483,151,1929,313,2382,0,0,1044,120,599,47,705
"Peve_00033584",0,352,12,0,117,47,54,0,254,0,0,52,0,71,0,135
"Peve_00033589",0,3082,1031,0,4704,259,1575,843,2766,0,0,1655,164,654,86,568
"Peve_00023538",0,727,90,0,591,0,217,0,379,0,0,205,0,126,0,119
"Peve_00023536",0,1133,224,0,1353,110,131,327,561,0,0,555,65,194,10,238
"Peve_00023535",0,1947,302,0,1705,0,574,57,21,0,0,1684,101,290,0,283
"Peve_00023533",85,266,53,0,439,0,54,0,106,0,0,66,0,47,0,44
"Peve_00036294",111,5303,1145,0,7112,393,1984,1066,4336,48,0,2290,0,1204,124,1376
"Peve_00036290",0,100,30,0,135,0,0,0,362,0,0,75,0,44,13,29
"Peve_00036299",0,162,77,0,580,0,168,31,216,0,0,97,0,16,0,31
"Peve_00032985",0,768,125,0,917,118,223,332,593,0,0,50,0,946,33,298
"Peve_00032986",143,13844,1870,0,23746,419,811,1957,2685,0,0,2975,155,649,59,3128
"Peve_00032987",0,7190,1301,12,13569,170,1488,2369,2573,56,0,2395,470,572,107,3595
"Peve_00032981",0,1201,319,0,4252,0,52,186,36,0,0,639,0,472,26,556
"Peve_00032982",192,4795,1125,0,18426,0,183,538,495,0,0,2713,0,1998,89,1395
"Peve_00032989",12,1042,58,0,1640,29,537,200,681,0,0,530,25,479,9,238
"Peve_00036740",0,1231,224,0,1599,0,761,290,1418,0,0,463,4,201,26,259
"Peve_00036741",109,632,165,0,578,0,101,0,188,0,0,212,33,95,10,155
"Peve_00036747",0,1495,225,0,661,0,185,177,1174,0,0,685,143,122,56,301
"Peve_00036748",0,4268,1176,0,3158,281,3154,800,4672,0,0,1969,202,578,151,1044
"Peve_00032670",120,234,15,0,230,0,234,0,124,0,0,108,0,0,0,38
"Peve_00032671",33,316,60,0,27,0,133,0,94,0,0,25,0,20,0,18
"Peve_00032677",129,995,273,0,709,0,357,0,653,0,28,295,118,90,48,229
"Peve_00032675",201,94,0,0,906,92,449,133,821,0,0,122,0,72,0,16
"Peve_00032678",0,2975,424,0,2372,0,1319,393,2698,0,0,874,102,461,47,531
"Peve_00032679",0,2206,525,0,2704,0,754,250,1515,0,0,830,40,418,14,457
"Peve_00012911",0,236,49,0,171,0,0,58,110,0,0,38,0,38,0,56
"Peve_00012912",0,5011,1363,0,5678,333,927,504,5816,0,0,2843,309,1084,156,2576
"Peve_00031211",20,580,98,0,594,131,178,41,380,0,0,372,0,263,0,54
"Peve_00031212",0,1285,502,0,429,0,491,231,593,0,0,604,0,91,0,306
"Peve_00027532",424,110,0,0,260,0,204,0,121,41,0,281,0,39,0,15
"Peve_00022723",0,4208,860,0,3280,230,0,1199,926,0,0,1683,371,0,78,522
"Peve_00027530",0,2790,494,0,751,94,291,295,633,0,0,186,53,69,36,501
"Peve_00027536",0,5924,564,0,2932,279,2904,320,2927,0,0,221,81,431,0,766
"Peve_00027535",19,4026,475,0,2733,375,1006,570,2858,0,0,1479,144,800,47,650
"Peve_00027534",0,539,171,0,892,0,537,0,1261,0,0,293,0,130,0,172
"Peve_00022729",0,376,56,0,381,0,310,0,170,0,0,259,0,45,0,89
"Peve_00027538",0,909,198,0,661,0,252,171,415,0,0,441,0,76,16,155
"Peve_00021261",258,1036,224,0,622,48,566,0,340,0,0,394,90,140,50,70
"Peve_00021260",0,464,166,0,569,0,220,0,381,0,0,238,0,0,25,113
"Peve_00021263",0,602,200,0,1646,84,0,0,98,0,0,254,0,68,0,329
"Peve_00021265",0,428,62,0,430,0,290,0,260,0,0,50,0,115,10,53
"Peve_00021264",288,4698,655,57,2270,323,1203,970,2588,0,33,1731,158,410,82,859
"Peve_00025973",58,16,73,412,249,12,324,55,49,0,0,0,0,47,0,19
"Peve_00025977",0,760,151,0,375,162,266,128,581,0,0,254,0,96,0,223
"Peve_00025976",44,806,239,0,923,0,413,471,489,0,0,388,0,158,0,224
"Peve_00037916",0,1700,259,0,1651,149,2005,449,2384,0,0,923,0,411,0,441
"Peve_00037917",108,234,73,31,645,0,101,0,11,0,0,78,0,16,0,70
"Peve_00037918",0,172,95,0,268,0,84,0,33,0,0,31,22,8,0,45
"Peve_00037919",0,82,136,0,248,0,91,0,128,0,0,260,113,61,0,78
"Peve_00044117",0,1766,181,0,483,94,457,0,933,0,0,224,0,21,0,542
"Peve_00025399",59,7476,1721,0,6024,632,2164,1256,5195,0,0,3595,535,961,117,2016
"Peve_00025394",0,1221,220,0,784,69,304,0,806,0,0,127,0,93,22,188
"Peve_00016162",0,652,37,0,389,0,64,0,239,0,0,93,0,60,0,43
"Peve_00014988",0,1009,101,0,332,0,245,0,1022,0,0,212,0,65,0,203
"Peve_00014984",155,8865,2291,0,6234,1236,1754,1668,3583,0,0,2297,675,3637,356,1772
"Peve_00014986",36,10094,2181,0,9971,854,5686,1057,5689,0,0,5071,261,1156,140,2427
"Peve_00014987",0,10470,3029,0,7800,796,6305,2189,16745,0,0,2987,657,531,157,2662
"Peve_00024370",0,488,0,0,694,163,567,0,698,0,0,248,0,129,0,30
"Peve_00024372",0,60,58,0,104,36,83,0,250,0,0,107,0,33,0,0
"Peve_00011759",89,1611,262,33,660,107,560,389,1967,0,0,574,0,48,40,537
"Peve_00024374",0,2948,229,0,2471,80,712,338,694,0,0,473,113,98,24,333
"Peve_00024375",46,78,9,0,84,93,0,321,91,0,0,188,188,424,5,66
"Peve_00013668",0,1110,282,0,1176,0,462,0,1028,0,0,481,0,131,0,287
"Peve_00013660",146,645,78,0,1055,33,158,427,448,0,0,316,0,246,0,189
"Peve_00013661",0,348,68,0,395,0,395,184,268,0,0,149,0,86,0,111
"Peve_00013662",0,684,356,0,952,68,443,331,547,0,0,698,36,369,53,310
"Peve_00013663",213,306,75,0,647,0,134,77,862,0,0,146,0,107,0,82
"Peve_00016297",0,581,72,0,505,26,272,0,168,54,0,136,169,85,0,84
"Peve_00013666",0,147,41,0,115,56,75,0,32,0,0,89,0,0,0,108
"Peve_00026283",8,152,9,0,308,14,85,0,28,0,0,69,0,100,9,21
"Peve_00020611",0,335,105,0,271,0,291,0,871,0,0,111,10,0,44,140
"Peve_00020610",0,2148,1110,0,1872,456,387,340,1712,0,0,998,256,261,54,732
"Peve_00020617",0,1768,250,0,1182,0,0,243,852,0,0,164,110,182,0,344
"Peve_00020616",0,63,44,0,184,0,27,0,268,0,0,0,0,120,31,15
"Peve_00020619",0,108,15,0,108,25,0,0,44,0,0,23,0,23,3,26
"Peve_00020618",0,2142,117,0,1544,86,77,0,330,0,0,128,0,43,11,116
"Peve_00004916",0,1297,199,0,1344,56,382,324,1079,0,0,451,92,212,62,386
"Peve_00004917",0,416,136,0,344,0,615,186,552,0,0,249,20,32,0,123
"Peve_00004914",4,270,12,0,103,0,0,0,58,31,0,186,18,36,20,40
"Peve_00004915",212,12353,1721,0,13642,586,3985,1642,7021,0,0,5355,575,1838,158,1908
