"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","contrast","gene"
110.893627749422,10.5905737892824,1.81867812461008,5.82322602662467,5.77224049640936e-09,2.30081506186877e-05,"eatenvscontrol_por","Peve_00017221"
35.5447588348632,8.94786562831606,1.76817689801465,5.06050363985807,4.18150476390936e-07,0.0010881032016355,"eatenvscontrol_por","Peve_00040818"
138.002866638058,10.9036881368133,2.15820968468387,5.05219127418124,4.36769975568689e-07,0.0010881032016355,"eatenvscontrol_por","Peve_00009450"
390.731127344226,9.14484018133038,1.35278223370272,6.76002386304256,1.37969014306769e-11,1.37486122756695e-07,"eatenvscontrol_por","Peve_00044775"
64.467907579999,9.79375225236072,2.31491977268319,4.23070914505556,2.32955731701126e-05,0.0273106337223732,"eatenvscontrol_por","Peve_00031540"
617.184590183357,1.88311197186799,0.435997238645829,4.31909151011318,1.56672812477268e-05,0.0223034939476568,"eatenvscontrol_por","Peve_00002516"
42.6256271525533,7.2256832873164,1.52319512568624,4.74376733844986,2.09779776874105e-06,0.00348409246091743,"eatenvscontrol_por","Peve_00020682"
216.587643009203,5.33836457927554,1.11550596832757,4.78559929829792,1.70477874703002e-06,0.00308874912984621,"eatenvscontrol_por","Peve_00045313"
199.82748993602,11.4420053197133,1.72659109713394,6.62693404287008,3.42730676363211e-11,2.2768741266396e-07,"eatenvscontrol_por","Peve_00037314"
8878.2514204545,1.31139957342655,0.306178925591895,4.28311508014929,1.84294789838068e-05,0.0229562197592043,"eatenvscontrol_por","Peve_00014920"
83.5968072003086,10.1803602962061,1.97617322820679,5.15155258197883,2.58338768934238e-07,0.00085811527747656,"eatenvscontrol_por","Peve_00018339"
48.2840502561958,5.09361674702722,1.15876860013937,4.39571519837058,1.1040861858063e-05,0.0169264905254766,"eatenvscontrol_por","Peve_00001859"
4073.64248049367,2.68854894105906,0.541604389893475,4.96404569687452,6.90396880323741e-07,0.0015035895288526,"eatenvscontrol_por","Peve_00043511"
36.1194701649489,8.9470301560682,2.08582471249363,4.28944489077988,1.7912025068037e-05,0.0229562197592043,"eatenvscontrol_por","Peve_00041288"
133.136586292982,10.8372077345136,1.52208233518882,7.11998785083409,1.07936577288756e-12,2.1511759853649e-08,"eatenvscontrol_por","Peve_00022840"
1364.25505722499,1.30216547539453,0.315808598576635,4.12327429102137,3.73524460587636e-05,0.0413574583306199,"eatenvscontrol_por","Peve_00029853"
779.180426230649,13.3993526208035,2.1459251057668,6.2440914572438,4.26270532004956e-10,2.12389292571469e-06,"eatenvscontrol_por","Peve_00023127"
93.2118068982618,10.3388131826752,2.09000035830242,4.94679971781094,7.54435287934069e-07,0.0015035895288526,"eatenvscontrol_por","Peve_00023121"
