"trim.321RA.gtf","trim.331RA.gtf","trim.336R.gtf","trim.370R.gtf","trim.380R.gtf","trim.410R.gtf","trim.414R.gtf","trim.419R.gtf","trim.468R.gtf","trim.512R.gtf","trim.549R.gtf","trim.568R.gtf","trim.571R.gtf","trim.581R.gtf","trim.586R.gtf"
1367,1823,5459,1496,1462,384,65,51,61,8032,2554,281,1138,101,1390
5958,2928,2976,664,2652,1813,2785,4251,2753,5808,2257,2489,1007,875,3384
2673,1526,1175,479,1206,1362,1107,2062,927,1232,668,2280,493,497,925
553,433,445,123,978,133,1227,1347,688,365,460,281,502,161,871
483,452,750,0,1072,264,1206,1226,749,209,511,108,724,65,419
82,112,7,0,13,9,39,120,45,32,7,0,15,0,5
176,167,72,0,92,44,198,417,38,70,39,38,188,0,105
1550,1623,415,165,363,623,483,524,299,370,140,42,340,0,177
643,686,461,0,376,113,433,669,519,495,386,290,403,7,700
445,245,0,0,102,26,209,622,109,167,76,65,205,4,174
28,40,20,0,0,11,22,59,23,48,0,0,22,0,2
1195,981,508,0,395,281,1073,788,535,1107,951,111,550,44,1180
2634,773,591,142,1088,267,1109,1412,448,1030,1108,37,361,101,1420
1984,1547,747,165,788,292,1818,1938,887,1056,1080,333,2229,206,1111
6216,7305,3661,422,4345,1583,5076,6170,2171,5292,4944,2128,3355,411,3844
292,73,128,15,94,42,319,745,0,155,173,64,156,0,111
1365,1408,692,0,906,208,2174,1665,465,1642,942,301,709,192,1004
141,455,184,62,217,46,78,280,50,582,161,65,51,0,87
901,1134,352,0,964,420,211,786,191,216,544,54,605,0,983
2935,1814,2625,392,4242,1219,2006,2797,3991,4398,2762,4486,2042,476,3480
142,95,96,0,72,23,171,299,62,119,131,0,113,0,0
3514,4633,2466,1010,2438,497,2690,4498,1939,3550,2442,1740,1479,234,1797
132,79,16,296,18,111,85,91,16,77,93,42,0,196,0
1836,2384,3124,233,2730,733,862,1837,2585,2817,1565,1621,1788,53,1500
2743,2206,1249,0,1123,636,1594,2591,991,1481,0,946,675,0,1286
5901,5771,4167,1860,4932,3416,6781,6036,5211,8844,3495,8471,1572,3806,7275
3873,2712,2744,207,2323,1127,2204,4088,1606,1761,1370,2361,963,276,1759
156,56,0,0,292,50,640,394,22,112,118,0,0,54,41
1459,875,1350,207,3054,505,768,1377,1788,2091,1848,1716,1091,115,2819
1435,2246,935,291,2233,335,780,2169,2336,2722,1754,895,1106,50,1449
1216,705,390,285,1117,591,1028,1283,545,693,186,2805,114,799,486
109,268,63,33,117,64,109,219,135,172,226,323,230,0,262
373,270,414,138,73,110,96,194,71,418,268,78,161,78,0
235,206,218,0,615,17,80,493,225,331,150,0,182,0,22
18,37,0,0,0,31,79,89,145,33,78,89,74,0,0
176,13,113,92,203,205,252,305,61,261,0,84,0,57,389
22,9,49,0,122,0,53,46,26,121,16,0,23,0,48
510,527,155,143,549,156,684,471,1067,639,776,504,944,52,341
0,0,48,35,166,0,89,149,70,238,59,162,0,0,177
999,618,534,181,550,250,547,651,672,1390,882,716,358,129,761
0,72,74,42,111,128,15,100,65,0,0,61,93,71,73
563,773,824,66,1049,296,718,718,1010,1644,519,1931,279,12,983
1060,868,1654,124,1158,269,454,1273,1338,2385,1229,576,824,38,966
60,854,122,0,113,0,74,282,0,135,54,100,130,0,37
84,155,64,0,64,0,51,0,36,0,130,103,44,0,0
597,322,826,236,817,313,161,530,732,1335,766,512,313,75,857
757,1394,462,167,1056,1069,1047,819,978,1747,683,1324,296,579,622
0,35,11,0,38,34,36,13,13,79,46,99,23,12,0
63,162,0,0,0,22,211,103,231,104,145,32,53,29,142
34,164,0,0,0,0,49,75,0,47,18,63,44,0,0
53,131,40,0,0,6,52,0,48,123,54,0,33,0,0
167,153,71,88,88,68,216,199,9,109,34,56,62,18,40
75,127,6,0,126,7,150,88,37,80,127,87,108,0,12
283,116,38,38,67,35,345,254,103,90,75,132,294,33,62
105,0,158,180,1037,0,2208,0,263,1141,144,0,155,0,138
90,0,0,0,0,62,42,0,0,335,54,36,182,0,0
3426,2545,1250,270,1999,941,2941,3039,1275,4280,2058,1714,1403,485,3428
164,121,48,0,42,86,210,129,29,61,91,57,61,21,37
114,28,0,6,0,35,62,56,0,53,57,0,38,0,0
427,0,0,0,156,108,107,367,47,0,0,78,85,0,0
94,19,79,0,35,0,20,53,0,49,0,0,36,20,0
312,122,589,22,511,29,296,356,410,371,239,94,274,0,48
911,685,612,79,900,184,526,971,1059,1214,778,599,509,0,991
260,175,65,0,159,21,242,166,62,149,116,106,131,0,0
559,374,324,134,413,123,491,405,115,514,176,253,100,0,360
524,387,429,28,659,95,169,625,711,1186,160,205,661,207,839
299,201,50,0,135,0,297,292,123,215,237,71,197,0,214
297,53,0,0,0,173,16,111,0,173,59,107,18,0,0
0,41,2,0,30,0,17,13,0,45,0,40,16,0,0
2228,9,0,0,12,344,14,261,0,165,72,272,68,0,0
3667,1127,303,558,1151,504,1992,1509,1015,887,686,1396,444,925,407
1023,792,0,119,787,226,401,723,302,751,697,341,376,0,576
43,84,63,0,31,0,62,168,0,35,56,0,0,0,2
288,857,392,0,208,155,250,696,79,598,86,0,224,0,141
256,556,268,0,238,56,372,855,139,499,229,97,49,0,135
2412,2011,894,275,1768,505,1656,1931,892,1793,1136,827,735,180,1202
1371,873,430,142,520,424,1460,1309,553,1020,1068,429,704,0,511
2093,2176,1184,193,1511,548,1032,1728,1390,2103,486,1012,567,228,2263
1568,1643,1616,253,1385,425,1384,1404,1116,1941,854,755,835,128,756
6933,5155,8027,922,10109,3510,4200,6470,9690,11926,5101,6905,4545,796,6202
3410,2962,12795,232,11398,1707,1160,3430,8723,12657,5116,6734,4495,149,8570
1493,1192,625,0,769,200,525,851,658,1098,341,281,493,0,493
1880,1773,1473,443,1366,1323,3082,2265,1294,2065,1832,982,715,534,1232
35739,23542,23922,9990,27958,14093,19700,27104,29810,39106,15936,38399,12260,9910,20790
1913,645,522,74,396,238,1418,430,352,650,477,384,430,90,350
1622,924,410,181,363,404,893,1204,396,1059,865,890,691,428,754
5144,4034,2290,334,2423,854,3556,4198,1653,3383,1954,803,1415,591,1724
1755,2039,1750,241,2105,413,794,1775,1207,2232,811,276,674,104,1289
0,12,38,55,0,0,89,326,0,895,55,389,224,0,316
2142,1491,662,149,648,467,1810,1876,930,944,1290,253,999,107,1004
4059,2237,1235,351,949,1167,4764,3482,2374,2470,2535,1064,1494,284,1594
8125,5024,9809,358,6349,2275,3248,7722,7219,11462,3190,3322,2715,472,4789
2621,1397,1572,424,1693,753,1096,1340,1854,2114,747,2127,1105,185,1212
102,247,95,0,75,62,142,612,248,409,139,0,144,0,266
2029,1589,832,0,711,322,1023,2335,939,1107,483,478,426,159,528
246,127,135,0,95,0,198,216,98,258,0,0,152,0,56
14787,11500,28108,4627,30882,9179,7586,14601,37577,27867,15968,35026,17101,3787,34800
15438,11671,28820,4889,32184,11223,7435,15042,52522,41663,23775,28412,26437,3890,37934
280,88,0,45,100,24,63,90,0,81,73,0,71,0,50
909,719,502,131,147,221,1057,917,561,162,373,100,205,0,316
9068,6014,4078,318,3159,1156,3482,5567,5071,2692,3131,4030,1209,101,2149
7066,5594,2159,1734,3481,2281,7224,6425,2619,3859,3248,2046,2724,2087,3847
9200,8793,12369,5354,11529,7530,3482,7031,5962,14419,7727,6832,3165,1364,3188
3373,2921,1701,346,1494,887,3998,3585,1748,1236,1194,271,828,166,998
1148,511,198,712,206,361,1875,454,333,492,882,277,149,1055,474
416,417,667,27,355,204,464,549,371,630,383,313,194,0,208
120,233,4,51,89,0,0,238,36,145,63,61,358,0,0
259,321,197,92,119,122,251,544,152,371,208,216,386,0,151
12345,816,523,1188,611,753,990,486,479,1352,1139,768,188,392,624
94,196,121,0,41,0,100,87,55,201,178,0,54,97,24
2811,2609,1261,209,1954,169,800,2874,2122,2430,1510,1465,1232,59,1380
6674,7066,10428,2741,6759,6118,7036,9549,9966,11677,10857,15234,4646,1945,6817
66,121,0,18,53,28,123,163,25,0,47,0,78,0,0
1352,978,835,405,889,352,1228,2205,783,827,502,351,452,79,1343
15149,16071,15436,4087,19093,6574,5115,12979,21420,25454,16131,9395,8629,2437,18664
498,359,336,0,251,77,254,685,279,586,325,0,119,0,245
7410,5772,2957,775,2534,2476,12375,7815,2812,5776,6585,2164,4526,2006,4737
743,523,308,103,246,256,924,1053,611,577,322,380,291,0,77
1280,1116,2209,145,2633,624,440,906,1725,3276,1126,1132,1889,0,1469
164351,196145,147111,61300,172639,51088,77422,115834,288255,183124,137283,75462,149769,22515,168179
520,556,987,151,892,158,305,603,331,690,347,148,331,31,87
1844,1381,1602,0,1522,425,892,1283,789,689,510,804,403,159,464
49,49,36,0,9,7,112,110,70,104,126,8,25,0,0
156,131,145,0,146,29,122,139,111,134,116,0,81,0,0
5559,5517,4054,363,4864,822,3461,5840,1614,4811,1955,637,1689,392,2614
667,568,529,0,269,229,293,413,335,741,332,513,350,134,531
447,20,27,0,111,9,82,43,139,69,11,0,72,0,151
57,23,0,0,0,48,0,63,0,46,49,0,38,0,0
50,0,60,0,33,50,16,33,64,0,25,11,0,60,0
4484,5160,7856,1149,6268,1971,1771,4736,7920,12140,4709,7278,5152,531,12363
187,82,176,0,100,36,102,90,717,161,29,44,156,0,60
1599,19720,43771,1713,30918,55,958,21807,7411,6747,7886,1553,1789,7,8397
559,100,0,0,84,0,93,104,63,0,31,0,163,0,196
190,13,0,0,37,11,134,109,44,17,103,0,25,0,0
1498,138,137,1,141,109,326,287,84,152,125,38,55,0,70
10440,683,407,142,779,443,3832,1327,821,338,1300,207,905,49,585
140,0,0,43,0,43,69,10,32,22,42,0,24,0,0
5135,28417,41509,910,20325,4201,16613,34030,7325,29159,14972,2231,3714,435,13150
63,913,547,0,236,74,112,580,82,740,175,29,81,0,329
48,45,36,0,0,12,47,32,55,101,129,66,42,0,30
57,42,46,21,29,39,76,113,56,53,62,0,16,0,77
3797,2303,2450,301,2063,1236,2690,2941,1730,3032,1913,1583,968,553,1029
123,39,90,0,0,0,24,66,0,126,46,97,45,0,0
741,375,688,35,349,51,280,364,87,556,333,0,283,0,196
507,319,253,81,472,111,422,468,246,316,359,536,280,65,117
155,235,165,0,313,65,67,232,133,362,149,0,59,0,172
114,3,23,13,13,0,19,0,91,238,4,61,7,0,4
79,112,114,0,0,151,18,89,0,175,0,0,259,0,0
208,470,133,0,102,29,95,572,168,187,244,0,258,0,296
326,356,267,0,207,31,39,425,222,172,160,0,217,0,297
2866,4480,1428,78,3338,307,177,3812,1018,3993,1120,110,1361,0,2104
228,298,0,0,122,65,247,287,331,95,50,89,73,0,126
352,341,590,22,185,283,893,424,212,361,407,136,109,100,206
588,451,415,108,298,234,1945,591,558,414,388,185,362,333,275
62,123,134,69,24,29,208,171,0,121,90,0,68,21,26
4066,3192,2169,556,3398,1115,3776,3278,2203,4262,2344,1410,1721,383,2293
494,2979,1379,0,120,163,1068,266,76,93,2565,2077,1142,0,128
432,489,610,0,199,99,591,377,270,388,260,87,353,0,0
0,161,0,0,80,63,0,58,0,62,147,100,74,0,0
1147,1151,1516,191,1484,643,664,656,1090,1064,647,250,452,95,334
366,377,466,82,451,98,284,386,208,589,279,166,246,0,266
6164,7266,3229,1226,4621,2826,4309,7390,4931,7524,3817,5459,1510,1037,5088
2002,3207,3228,337,5522,754,979,2581,4516,2262,2453,884,2123,176,2161
406,797,1309,6,998,280,135,997,897,2126,544,541,598,0,826
184,226,106,48,203,0,107,331,94,115,129,46,71,0,179
1402,1728,844,249,1040,549,1331,1928,994,3182,1219,914,828,285,1288
5257,3854,1705,664,2031,1157,2756,4765,1732,3171,2092,1076,1868,327,2783
4488,3541,2244,309,3488,810,1637,3646,2764,3904,2214,1925,1904,293,1617
7680,4626,3141,437,2648,1336,7947,6133,2866,2462,4396,1041,3368,309,2593
120,382,101,0,132,87,0,92,285,127,124,105,47,0,176
74,536,22,0,36,0,23,237,14,0,26,46,23,0,0
717,961,997,46,2165,186,428,556,837,2226,759,597,518,132,1443
2003,1201,1102,305,992,812,2431,1802,877,1622,965,880,692,399,1202
16,76,0,0,0,11,35,95,0,35,50,0,10,0,0
889,971,666,66,644,119,300,652,375,724,314,348,453,0,401
772,939,1213,72,913,227,412,786,657,832,295,387,302,23,400
474,828,1049,180,1356,127,234,739,887,1778,1026,370,325,0,1368
151,0,21,0,0,9,29,124,43,134,50,0,33,29,0
19,89,31,0,0,0,259,102,73,56,41,64,29,0,43
446,425,534,637,399,207,236,474,888,605,586,271,415,170,324
64,39,77,0,51,6,261,29,15,36,143,197,8,2,0
30,20,0,0,34,5,27,30,15,0,11,33,16,10,0
12,22,0,0,0,0,31,18,63,29,5,0,0,0,51
19217,20303,15733,1982,15294,6036,9285,20394,12795,36772,12128,15018,11059,2101,13112
148,173,36,0,71,34,196,453,0,138,127,20,90,0,215
181,500,437,69,769,332,349,1903,838,731,698,588,887,65,717
1423,1364,1241,71,1950,401,664,1179,1316,3934,805,1111,1175,0,820
1149,2199,1894,60,1267,224,500,2405,2553,2643,2332,506,1205,178,1785
776,866,241,65,278,146,881,1032,484,582,434,166,643,0,333
3443,1908,4832,1980,7414,2388,2148,2885,13508,9739,5010,5482,3879,3423,4332
5689,11818,14490,354,16687,2567,4566,16125,13160,16065,5394,2122,8238,852,7075
1540,998,559,71,683,502,1073,1086,597,1237,530,764,337,190,1021
134,316,288,21,442,183,74,487,169,490,258,409,278,0,293
6837,2634,3432,2520,1659,1385,3262,1220,2379,2902,5606,1212,860,3465,2124
61,233,53,0,176,0,80,122,0,151,73,34,8,0,23
132,80,57,0,39,11,86,139,19,78,23,0,0,49,126
