"trim.321RA.gtf","trim.331RA.gtf","trim.336R.gtf","trim.370R.gtf","trim.380R.gtf","trim.410R.gtf","trim.414R.gtf","trim.419R.gtf","trim.468R.gtf","trim.512R.gtf","trim.549R.gtf","trim.568R.gtf","trim.571R.gtf","trim.581R.gtf","trim.586R.gtf"
807,480,325,0,520,204,336,602,290,470,236,231,147,31,260
3679,2168,1913,164,3713,1015,387,1699,2398,6536,1514,1191,1266,349,1555
91,133,231,28,80,234,770,144,112,65,542,48,114,64,180
7665,5613,4602,1145,4045,2257,2639,5289,2236,6881,1809,2232,965,350,2888
1127,820,1058,311,458,290,613,469,913,665,551,215,265,176,443
451,734,328,36,437,110,473,501,344,399,152,600,220,95,380
58,11,0,0,0,0,381,26,35,126,3,229,17,0,0
3031,2675,2133,749,3025,958,1950,2645,2595,3867,2120,2232,1092,291,2122
243,242,134,151,173,937,215,447,285,443,469,1048,72,303,407
4406,3007,7420,1509,7835,4188,2420,4839,8531,8557,5500,8775,3712,2267,8940
704,221,75,55,385,169,450,332,242,264,260,816,344,0,230
9,27,25,9,75,11,17,318,24,0,0,0,0,0,23
82,408,63,41,244,42,145,12,98,375,56,39,63,0,224
802,618,1095,84,1406,242,313,619,1162,1384,786,268,689,134,931
300,277,136,0,278,0,292,151,145,53,98,49,131,0,139
767,592,121,23,365,542,1349,714,433,371,290,211,115,63,408
210,125,32,28,127,40,185,274,48,213,158,201,167,61,162
1430,955,3345,280,3118,668,810,1174,3679,3610,2727,2984,3429,568,4806
294,454,265,24,377,180,305,332,255,694,253,228,106,48,226
4289,3801,1530,315,1620,1213,1550,2089,2528,3553,1574,1285,811,266,3251
325,252,218,35,591,180,419,237,577,433,277,109,274,0,435
2424,2205,2149,401,1529,1029,2226,2519,1677,3016,904,1690,731,751,1381
124,21,0,18,50,97,138,33,0,0,9,76,0,0,0
8063,4277,3695,1566,4949,858,5534,2434,2310,2289,7363,72,1537,446,1265
398,425,319,67,167,168,215,474,283,588,473,114,241,0,320
521,347,240,0,171,67,309,349,121,442,402,48,387,0,0
5635,1880,1684,540,2343,1319,2463,4212,4149,10158,914,4405,713,702,1415
1242,690,695,99,601,469,1941,1171,795,797,1107,325,579,63,845
276,133,129,0,186,69,110,203,226,370,84,124,117,0,139
1260,1180,796,121,826,333,228,654,1086,1809,583,464,282,903,585
523,318,503,7,291,121,487,423,277,450,396,54,310,0,423
9120,5978,10777,2460,10179,3172,5803,10561,11804,8970,5836,6776,5815,2249,12077
680,429,493,0,750,125,207,486,282,342,162,68,327,79,319
3296,3936,3602,833,3319,3568,9938,5502,2365,3923,2839,2057,2472,1245,2136
903,1434,1029,47,1039,482,621,1028,1542,1322,740,298,413,0,329
778,461,254,80,289,101,688,466,106,591,401,193,162,186,196
155,129,77,0,63,23,79,184,97,93,137,0,74,0,86
114,436,429,38,527,54,31,265,520,527,288,84,581,0,410
92,17,15,0,91,42,116,58,0,147,28,0,0,64,48
309,572,242,0,186,75,210,572,345,427,135,0,319,0,453
382,188,217,0,472,120,149,203,199,153,100,0,122,22,138
5135,2054,3210,523,2238,911,5097,3161,2385,7316,1978,1971,1166,607,4384
3744,2426,3540,736,3723,2048,2426,3302,4994,4461,1683,4359,2091,912,6660
19541,16845,53583,4939,53905,33224,12631,19587,52037,96934,40956,77361,28633,9426,66457
210,99,98,0,155,208,207,141,70,563,140,9,61,0,520
2058,1423,1677,358,2101,811,970,1279,2359,1393,908,1516,849,809,1067
309,355,211,9,430,158,312,371,151,344,138,0,168,0,290
3994,3061,2037,474,2700,1029,3108,4110,1793,3906,2090,1233,1689,262,2612
14,71,211,0,182,0,39,39,133,0,21,0,0,0,0
2305,2201,1952,452,2110,325,939,2641,1936,1228,620,428,631,625,825
453,543,564,125,509,99,229,335,799,613,332,455,342,0,721
1218,868,1361,137,1402,296,510,861,953,1140,775,425,354,51,611
3467,978,765,64,2379,380,1739,775,1398,2193,812,142,380,78,1244
0,135,140,0,67,71,129,285,112,20,61,0,84,0,0
575,336,334,91,406,220,262,266,310,358,402,430,122,53,31
9272,7344,4773,698,4995,1264,1475,6020,3343,4661,2377,6155,3677,458,2239
2679,3092,1639,331,2616,438,2080,3956,634,3349,1591,632,906,153,1620
1472,1092,1003,357,730,367,1299,1073,780,1491,795,424,768,259,627
1284,1198,1132,30,1055,650,480,874,705,1430,507,523,996,0,879
7348,6305,5747,811,4802,1945,3375,6803,5563,9395,4098,7874,3168,721,7652
4465,4971,2664,949,3393,1303,3810,4182,3332,6047,1899,2730,1688,719,3063
385,171,419,0,85,42,229,122,191,165,102,76,35,0,218
2044,1346,1278,50,1013,189,907,1110,822,1415,692,1053,398,325,541
128,34,23,90,49,47,186,59,0,22,102,75,20,23,49
1044,157,43,493,87,218,1013,126,144,46,218,334,29,227,0
287,234,80,0,146,65,178,216,112,107,59,53,85,0,144
59,50,142,0,34,56,105,194,0,39,0,0,53,0,146
26,85,57,0,14,50,121,50,0,104,88,108,34,54,0
588,623,260,0,418,203,425,643,157,354,235,321,189,33,326
675,796,938,155,861,269,607,1051,487,2221,342,285,288,213,348
216,158,58,0,19,0,101,43,122,211,0,98,0,0,136
511,2307,2507,392,1584,404,446,2255,930,2410,1311,189,542,43,560
86,183,44,0,26,69,70,202,19,361,22,23,68,0,36
7543,2066,1096,928,1743,692,5964,3001,506,2525,1777,1543,745,2290,1092
66,101,38,103,61,45,76,69,55,0,47,225,23,333,136
482,488,252,47,985,165,313,411,280,218,896,0,71,0,55
13987,15034,19013,2457,9950,9041,6359,13495,12921,15573,8439,4919,5602,891,13615
264,290,241,0,125,0,103,233,275,371,271,51,247,0,206
52,25,37,15,45,36,63,94,160,0,89,0,75,0,98
545,270,66,0,206,55,97,393,202,376,218,0,137,0,323
731,629,1609,177,863,280,328,1143,470,1132,1089,447,551,83,936
3814,3697,4950,782,4935,1968,2402,5312,5154,8416,3797,3778,2845,383,8228
3033,2655,5431,293,5343,1114,1861,2760,3439,5097,2860,2133,1900,114,3709
2994,2603,990,436,1920,588,2106,2400,1308,1618,1026,1154,954,260,1327
379,131,30,8,127,0,0,20,55,8,0,35,125,87,495
786,534,805,135,981,438,466,1210,1385,1533,1339,1994,728,22,614
1496,930,1431,163,1231,509,746,1277,1160,2304,1017,1194,804,243,1078
657,1235,353,214,370,170,1209,1159,444,1203,596,222,523,0,230
236,98,73,38,110,40,151,131,110,93,27,34,91,0,34
1677,1375,670,164,1402,342,920,1385,633,1594,783,768,538,112,1798
2159,1772,1569,460,1356,773,1265,1244,1588,1930,1676,1582,697,181,758
1075,1327,553,143,894,310,542,1301,479,1095,327,585,473,177,819
18965,15170,7532,1669,11598,4217,7335,16681,8404,13996,5688,8510,5287,1748,8795
9313,9202,6379,1277,7132,3697,6269,7864,5465,7964,4093,4609,2423,708,4123
1883,7853,4532,440,6046,974,1432,6751,3677,5487,3413,775,5119,166,4480
3718,2875,2699,471,2622,1740,3180,2969,1990,4232,2040,955,1591,316,1846
10397,6657,15587,836,11524,3501,3669,10342,14528,14102,8082,7489,7049,743,13080
0,35,53,0,26,8,25,0,0,21,21,0,13,0,0
2084,1675,736,221,733,515,2693,2466,776,1553,1556,943,1186,159,1076
1983,1246,1340,324,1767,506,1490,1204,2158,2244,1266,311,827,134,825
709,516,533,113,540,256,802,841,243,409,468,0,205,0,438
83,129,182,0,130,61,113,115,213,132,131,0,99,0,65
5682,4020,7247,1417,6381,1382,2327,5594,7537,3603,2751,4409,2355,1574,3789
38,30,11,0,0,0,65,21,0,28,29,0,22,0,6
368,212,408,0,433,146,146,219,161,386,195,189,176,0,170
3939,3340,1638,286,2039,1208,4512,2936,1088,2510,993,1522,1100,224,1179
1666,2144,1415,45,1486,421,1696,1990,1124,2355,772,656,966,120,944
1329,1156,1630,192,1524,679,698,1197,2105,1245,818,555,743,267,1531
3254,2528,1561,113,2128,707,1314,3689,2203,3154,1705,2027,906,109,3108
1577,1339,1381,281,2033,743,1274,1842,1160,1989,1681,942,822,304,1396
13701,12633,18388,1181,20054,8155,6498,11636,22702,18378,11915,7602,6543,830,7683
1195,983,567,66,836,249,971,1558,310,870,421,224,480,0,437
594,407,855,159,761,130,343,279,439,658,478,307,365,37,365
474,432,274,43,224,126,652,566,241,467,231,103,316,116,224
1426,1207,699,246,728,623,2157,1938,1088,971,1153,778,841,450,530
5647,3708,2788,2072,2485,1928,5264,3752,3089,4267,5573,1314,1494,426,2460
21794,23064,19132,5776,20938,7570,15928,23997,42889,27495,16945,9041,9120,2324,21192
139,73,62,5,134,47,59,54,46,124,34,19,36,29,88
194,0,104,0,0,0,119,0,0,220,94,192,77,0,0
1363,1535,490,117,714,242,756,1040,973,1356,323,475,402,39,504
2212,1962,1339,181,2155,724,745,1309,2172,2218,1503,1635,689,200,792
5444,4294,4272,584,5256,1860,4255,5206,5380,6322,3686,2790,3783,828,3201
34,16,0,0,0,0,62,63,36,34,0,0,8,0,12
60,91,81,0,104,24,260,93,91,93,0,0,141,0,0
581,145,137,42,64,23,89,228,15,145,73,54,41,0,0
4341,4144,4541,881,5990,1748,3903,4966,4157,5905,5905,1096,2286,330,3753
224,354,120,91,239,229,553,327,219,201,319,178,214,23,244
963,470,1735,55,910,212,586,562,398,1456,330,316,471,0,195
29,14,30,0,16,0,22,110,0,24,0,0,0,0,0
4670,5406,3882,459,5224,2777,6655,5971,3851,6449,3325,3203,2246,755,2323
319,148,469,0,454,91,134,303,223,492,126,258,186,0,75
2332,1595,700,199,908,629,3166,1886,835,1052,1328,549,1069,464,1178
978,348,564,488,238,218,1438,204,295,475,559,817,61,267,223
300,83,20,0,50,35,246,156,51,49,37,25,33,14,44
253,467,334,36,369,58,173,180,304,77,91,47,230,0,104
1446,2886,2655,4531,1925,1654,1845,2490,1365,1947,869,2518,1158,1928,966
232,298,195,52,130,48,418,272,324,282,33,39,165,0,133
603,275,436,341,122,625,426,340,79,1475,329,1686,29,577,478
1320,1114,825,3369,454,1324,699,630,842,670,472,732,399,558,576
1049,1098,224,219,706,242,1791,1763,272,537,685,0,90,94,758
1063,513,161,16,355,281,831,1057,73,328,298,122,107,86,247
363,270,124,29,334,57,242,460,1516,393,991,0,234,36,95
251,44,0,0,0,5,124,23,0,177,69,362,32,0,78
876,91,288,101,232,224,153,41,241,562,58,607,49,0,282
248,1400,740,6098,1313,1666,1089,1579,1623,1137,1089,1445,651,1104,1348
1750,1674,1168,101,1588,431,1315,1731,771,1307,822,644,659,190,949
170,52,55,0,114,0,15,63,0,63,0,0,146,0,215
69,48,0,17,11,0,48,41,0,8,71,120,27,0,0
602,364,508,0,432,53,375,469,141,323,224,0,117,0,146
848,316,144,188,184,143,242,247,203,160,1152,0,125,47,241
12075,12434,10484,1502,12636,4782,4290,11781,11352,17192,7182,8358,3200,665,8923
7,51,0,11,6,27,64,0,27,0,17,78,16,0,0
731,932,400,67,283,220,240,922,388,490,513,292,428,78,920
151,126,0,31,0,44,195,207,59,106,89,49,67,20,12
6287,6243,7834,1469,4311,2524,2891,6604,11281,7664,3630,7407,4617,552,9200
0,60,66,29,81,16,62,54,45,42,29,90,16,0,83
145,51,33,0,12,48,65,83,39,75,65,0,21,0,0
342,220,952,0,596,156,218,441,472,698,419,394,662,35,504
2404,3409,2813,66,1339,1130,1473,4571,3496,1758,1912,382,2696,0,1848
809,894,1068,0,574,876,1756,187,658,613,1007,413,203,96,758
949,970,636,183,779,293,965,1582,346,1363,799,369,688,0,670
93,24,35,0,38,0,1063,72,0,0,56,0,29,0,0
106,118,25,31,50,19,140,224,43,31,87,132,30,0,52
205,224,80,0,142,87,149,202,89,24,98,128,73,0,145
53,33,0,0,16,0,0,132,37,0,52,0,30,0,58
43,30,55,0,86,46,26,43,0,51,54,0,57,0,0
7913,6776,6187,823,9283,3564,3582,8412,6093,6575,4001,4746,3255,501,4065
473,683,551,73,243,166,793,973,295,218,454,82,383,0,652
32,21,24,0,0,15,38,4,0,40,53,0,8,0,49
301,435,795,43,1196,246,204,279,423,839,541,342,174,0,445
656,357,182,55,173,73,587,239,232,243,340,187,222,0,335
5020,3839,2257,289,3307,647,2845,6608,3092,3908,2897,732,1255,397,1015
71,19,0,0,0,0,107,49,40,167,60,0,0,0,0
30,19,0,0,19,13,34,32,0,40,0,140,28,0,28
18,15,0,16,88,0,29,29,23,0,41,141,9,0,0
37,134,25,0,51,29,100,54,37,29,16,43,46,29,17
53,145,59,87,41,0,8,118,76,64,178,59,169,0,0
1546,177,289,27,131,111,383,477,231,34,180,447,300,83,120
3677,2772,4554,841,3993,1349,2532,3061,3259,3757,2490,1814,2207,706,2048
15,559,3222,9,0,617,0,0,0,589,0,0,1561,0,201
2841,633,1619,1990,2080,313,735,589,900,2316,1717,698,280,709,760
984,539,743,53,1018,182,562,1009,596,939,571,390,623,74,473
1484,418,632,145,594,135,335,797,354,720,384,276,328,0,311
288,125,283,45,240,57,345,302,92,284,134,36,67,61,193
10529,9637,12687,1450,13221,4636,4773,9577,12224,13335,7483,11583,7229,1614,9104
3570,4432,2232,314,3468,1338,3114,4768,2360,4458,1779,1084,1202,220,2941
2527,1546,820,161,794,621,2366,1872,877,1686,958,1114,954,338,1271
2167,1755,934,225,1277,472,1565,1825,799,1883,755,554,802,230,1302
39,68,7,11,26,16,78,50,62,64,9,0,81,0,193
406,698,633,216,823,378,481,830,430,1277,554,102,456,75,839
123,245,177,58,3292,503,65,784,2152,100,1520,1636,1764,0,406
0,243,0,0,2166,230,85,594,1204,107,898,1059,796,0,0
2134,3288,1689,344,2183,470,629,3386,2124,3962,1367,734,1659,59,1611
180,136,196,0,126,50,227,231,214,127,62,25,74,0,0
1063,1488,948,63,1169,38,711,2227,2520,1052,473,537,1455,0,949
105,81,372,65,61,39,204,133,317,169,79,0,81,0,11
3197,2465,2977,476,3475,1339,1363,2863,5059,2485,1536,2300,1778,224,2775
5397,5184,3926,542,2681,1923,1625,3973,1889,4136,2177,3694,1253,351,2945
39679,33700,42970,5581,40240,14524,17750,37353,39420,56394,36813,47790,17054,3755,24889
5462,3488,2159,456,2914,1095,2203,4473,1808,3435,1952,1167,1216,257,2118
4122,3398,2639,223,2614,1086,2399,2966,1797,3427,1524,1185,866,255,1346
1113,733,712,212,1026,342,841,1608,946,1692,781,308,555,27,715
582,565,1695,182,1418,340,479,717,1116,1788,733,641,608,190,1108
2179,1847,2361,246,3621,1445,1229,1928,5080,2864,2057,2888,1785,313,4815
3265,2293,4146,364,4847,837,1485,2484,5460,3574,2560,3540,2090,411,3282
975,675,1025,0,596,168,535,570,437,756,593,57,359,94,148
4251,5251,3682,468,4675,1914,2628,4709,4813,6188,4048,2412,2257,302,4704
2087,1660,1449,274,1429,733,2202,1568,714,1196,1018,1414,482,548,614
63389,28904,32710,15825,38587,22692,23847,39806,61350,79949,46687,19606,25345,3386,30004
529,538,146,56,247,264,1348,671,105,339,313,462,168,102,248
691,710,318,213,412,155,608,543,85,331,442,127,240,152,186
1392,887,2540,262,1190,418,1103,1398,557,1335,614,0,602,0,764
234,186,71,0,126,91,768,239,117,141,120,15,115,70,0
31,31,0,3,12,15,18,28,28,0,11,0,0,0,10
11,38,15,0,18,12,16,23,14,3,5,30,13,2,12
66,3,10,0,82,55,3,60,51,13,15,22,125,0,16
1971,1872,2041,384,1261,431,1320,2216,542,1578,920,372,1064,336,1133
1936,1161,1116,30,864,365,1547,1056,594,1077,842,211,525,242,641
49,22,0,0,0,6,48,41,37,0,32,50,31,0,0
2848,1178,1014,39,161,274,2505,1268,574,705,779,95,400,92,1010
249,221,289,0,295,432,89,174,233,963,136,227,232,88,56
68036,73888,128282,46409,121729,105321,59328,76773,166799,194761,117984,126103,46947,29356,109250
147,135,124,0,219,32,53,265,99,296,149,54,67,0,174
5689,4482,3223,545,3671,1400,4169,6343,2192,4507,2581,1511,1957,227,2214
4854,3949,4305,807,3995,2506,3200,3442,3655,5565,3158,5915,1779,675,2435
1023,1111,2261,261,1778,525,784,935,1967,2459,808,1076,843,0,1246
165,156,49,0,57,80,101,84,146,148,208,66,194,68,0
129,302,52,0,122,32,29,369,109,98,105,150,54,29,0
10,62,0,11,0,0,23,87,100,101,0,44,57,55,0
39,48,0,8,16,25,0,19,44,77,25,23,50,0,0
16,119,0,0,17,2,40,4,15,18,39,47,0,30,0
1986,2328,1528,401,1167,747,1954,2419,1655,1973,955,1300,233,475,691
540,639,160,30,623,280,208,328,431,615,259,57,306,29,454
174,72,71,0,97,101,317,152,195,74,149,0,168,0,0
139,34,36,13,33,26,62,69,20,109,34,0,147,0,47
131,11,0,0,0,0,43,73,0,39,73,0,0,0,24
0,23,0,0,0,22,17,0,52,0,52,61,44,0,0
1067,826,758,195,1120,353,994,1356,743,1589,942,552,721,270,972
527,178,580,0,795,88,149,335,424,480,144,241,283,0,411
0,77,48,38,0,0,71,36,76,99,23,0,41,0,0
335,228,81,53,50,57,420,215,82,149,122,100,189,0,151
1351,1182,2500,0,5791,0,1353,956,8177,39,2830,0,42,55,2571
1446,422,134,80,494,267,1025,526,158,162,293,714,244,175,370
4977,3696,1727,547,2608,1207,3974,5199,1996,2955,2216,1564,1445,431,2382
419,473,170,33,231,127,880,610,304,289,423,138,392,23,367
1812,1555,1052,82,2184,384,1013,1950,792,1440,555,646,547,81,639
889,360,534,10,738,532,1116,720,711,862,529,342,351,343,524
194,83,2,0,101,11,8,117,114,56,99,82,65,47,72
85,60,33,28,7,33,73,79,0,88,106,0,88,0,0
103,90,0,38,94,31,115,60,45,61,117,154,73,0,0
570,791,610,0,644,100,173,627,214,794,228,109,362,0,304
5678,5729,5514,693,7216,1904,1977,8964,7266,17045,5051,2786,6481,149,9170
1747,1206,1349,110,1229,268,602,2087,1707,1290,804,573,1715,51,1481
3025,2380,1249,131,1641,855,2069,2351,930,2007,660,1033,671,157,1312
68,71,15,0,4,23,36,145,21,7,23,0,8,0,0
39,370,110,38,61,38,131,419,176,164,96,0,150,0,167
9782,3885,4974,5804,6042,7163,7556,4901,3721,5556,4593,11213,3183,8633,4711
259,572,148,63,266,34,83,196,198,165,31,50,120,0,102
1752,1401,429,111,715,476,1440,2195,342,795,600,573,378,105,850
6933,5502,1828,871,3909,1898,5107,9256,1883,4717,2720,2879,2076,928,3525
1323,1280,451,82,970,253,1181,1627,551,1297,873,414,701,111,868
43,36,0,0,31,16,13,14,0,0,0,69,24,0,34
60,79,38,0,22,27,103,48,61,37,27,69,92,49,18
3393,2288,2865,522,3997,707,1148,2889,2051,1424,1092,2452,944,602,1050
128,106,0,0,35,0,119,66,94,114,94,0,66,0,27
315,435,531,0,427,75,202,550,229,700,384,146,210,0,279
871,546,867,0,495,82,137,387,310,988,184,52,43,94,107
3071,1885,1199,787,845,507,3432,1525,634,1672,1121,861,414,240,462
18810,12907,13230,5844,8696,4454,24927,10388,9061,14254,17826,3700,5931,5549,8653
695,574,458,43,602,186,773,573,261,462,449,74,282,113,525
228,99,587,0,430,0,47,60,485,115,10,141,55,0,39
518,251,185,0,234,27,285,356,161,351,112,212,135,0,150
4311,2801,3633,896,3889,602,2573,3027,3108,3659,1788,2755,1190,1193,2690
1159,1161,424,259,1028,212,1126,773,541,548,293,162,184,98,510
5361,9854,11154,1038,11186,238,768,9393,5105,8197,4846,292,2322,0,3563
122,227,208,174,368,103,1133,305,363,298,129,277,58,0,168
71,30,58,0,33,28,60,91,9,49,48,0,53,0,56
82,73,0,0,0,0,17,80,0,95,57,0,98,24,0
25,0,0,0,0,27,131,18,0,24,42,34,0,0,11
40,21,23,0,28,68,199,28,25,18,124,0,124,15,70
516,467,181,111,334,198,971,731,298,339,404,104,415,48,191
302,584,1139,590,0,1042,14400,470,1396,324,1112,324,31,4587,0
361,365,290,58,109,90,436,549,150,377,167,0,194,0,497
15,48,0,0,58,18,121,31,21,35,37,0,105,0,33
0,21,26,106,21,3,29,18,32,20,50,34,27,0,14
450,111,45,42,190,94,131,146,84,175,206,256,131,39,72
2103,5001,7613,206,4342,589,1424,4369,2406,3591,2270,2322,756,454,2880
30,806,105,135,351,212,313,1723,684,952,1060,1453,154,83,1084
12360,15852,9218,4757,14344,6040,17216,13411,6779,10040,5306,118,1963,1860,4404
1466,921,1279,58,1274,281,1140,1317,1887,718,539,557,523,0,1398
0,13,47,0,0,6,29,28,52,0,29,0,17,0,0
3669,1259,2347,377,4103,814,2539,2295,2600,5143,1878,3686,1754,329,1165
4825,1317,1517,318,1732,573,1941,1458,1152,2793,1281,705,761,169,560
1205,786,1262,248,1641,570,314,1612,1462,1412,524,893,922,100,609
959,1014,1880,169,1304,316,508,927,694,1059,623,461,679,181,518
308,314,175,197,337,97,682,564,232,522,271,225,281,24,90
218,208,343,90,356,185,161,263,752,516,356,203,48,27,369
528,425,670,47,641,95,299,440,729,789,517,96,250,52,550
324,362,151,0,207,241,476,569,118,487,226,87,304,16,264
15483,6900,11687,3331,10068,3732,10395,8582,4213,8556,4144,11968,3141,2140,3337
305,275,161,50,91,163,786,258,88,152,178,50,120,98,67
1839,1016,1335,133,683,408,1733,1370,520,2090,1245,347,641,368,758
1391,1032,258,177,328,360,1591,1024,455,765,696,104,612,221,711
2018,2582,2780,354,1793,534,1352,2187,1993,3056,1273,898,1168,133,1388
64,63,186,0,77,0,98,387,0,312,0,439,45,0,0
0,73,14,0,85,41,281,299,0,167,179,0,0,0,0
904,440,865,481,459,409,134,211,256,876,404,462,193,261,281
1845,1524,1551,45,1390,501,1880,2079,1112,2472,739,1230,764,234,856
524,455,276,325,264,429,1284,741,344,433,440,69,394,308,382
35,38,111,0,276,0,24,0,0,0,41,351,0,0,0
165,265,188,52,276,114,207,308,264,479,124,349,172,0,246
5283,5041,3979,1250,4916,1208,2781,4281,3481,4932,2459,3213,1969,258,3009
43,40,70,0,105,0,163,125,134,120,99,0,56,0,0
255,1902,503,160,1024,317,479,1384,550,1228,1302,749,166,77,1057
41,100,24,0,82,107,118,121,42,0,56,60,35,34,76
2396,3158,2237,298,2855,338,1323,2115,1966,5374,1156,568,873,50,1081
385,383,163,210,473,204,295,191,266,300,329,360,185,294,293
657,527,546,355,536,247,965,480,243,481,595,212,143,466,476
120,60,55,27,11,21,97,62,0,60,88,75,62,0,0
2716,5137,1674,810,3922,1413,5246,6411,2412,2433,4602,1253,1312,1547,4172
2608,2964,1507,614,2090,788,1876,4525,1719,1513,1598,429,1094,559,2744
904,1324,485,79,427,350,683,1575,745,363,498,160,958,188,1329
2425,1847,1072,15,833,350,1679,2653,1274,1043,1063,132,1400,279,1630
11242,11142,5795,919,5815,2970,6881,19527,6747,5088,4588,2255,5675,1409,11575
73,29,33,0,32,0,88,35,0,0,51,37,0,0,0
124,41,19,11,49,10,54,62,49,39,33,53,43,0,0
3319,3109,6224,525,8020,2672,1926,3621,5374,9200,3699,7153,3355,1011,3683
22243,21156,9088,2863,13444,6373,10031,32626,9606,14360,9465,3810,7450,1444,15052
8179,8606,3158,670,4312,1929,4949,10454,3588,3920,3360,1242,3784,550,5004
1078,661,396,131,463,329,1998,1177,682,776,1132,317,870,41,497
1404,625,450,45,348,207,1365,1516,858,629,759,301,849,66,693
258,162,150,0,373,126,135,258,50,494,384,133,161,44,117
44,75,0,0,98,27,34,53,12,104,53,0,0,35,43
50,24,41,0,111,24,98,108,61,70,26,0,3,0,6
156,104,243,0,0,73,99,206,54,200,80,88,252,0,125
843,715,393,60,652,115,331,1041,173,526,417,122,452,0,791
12,3,33,3,7,14,13,54,6,17,20,0,20,0,22
1692,3210,1724,231,2712,542,595,3055,3392,2526,891,1051,957,0,1099
464,151,167,87,292,108,164,252,97,140,69,91,110,82,0
384,16,0,51,20,146,663,13,0,0,39,403,0,145,0
13742,13715,13636,4133,20992,9971,22391,16960,10483,15944,7930,11911,4506,4378,12084
243,156,48,11,21,54,302,262,134,92,27,19,67,0,165
117,128,52,56,79,40,202,184,149,277,94,68,293,17,4
668,608,726,333,1454,326,398,561,965,803,553,1045,347,174,460
1748,1821,1870,273,3126,663,1501,2454,3276,6783,2386,2270,1594,162,2748
4805,2823,2039,863,1709,1140,2725,4532,1754,2408,1691,857,1479,387,3327
0,117,22,0,86,23,71,164,44,234,30,0,81,0,194
104,312,740,0,258,40,0,229,682,246,184,0,426,41,139
0,117,0,0,15,148,51,71,128,0,85,174,88,0,0
31,1775,203,36,654,0,37,335,405,175,198,5,123,0,287
100,218,417,23,0,53,189,37,177,152,0,42,683,0,0
216,291,56,108,245,118,154,358,133,219,99,165,209,51,135
730,556,426,193,460,159,492,733,414,497,429,0,447,0,581
462,499,287,33,648,151,299,299,43,252,263,61,144,0,142
4038,3471,3271,423,3776,1228,1801,4258,2186,3927,1491,1157,1298,606,1463
57,19,0,0,0,0,20,75,21,0,14,0,0,0,32
1501,1071,983,81,1182,263,815,1400,1365,1396,539,341,679,0,832
80,94,65,0,42,15,18,78,98,67,138,0,49,0,90
184,150,25,20,8,44,193,257,123,114,198,36,216,0,81
442,140,137,132,165,87,387,691,117,665,108,15,35,16,160
3811,2402,2082,764,2738,1035,2963,4043,1246,3006,1354,2253,1332,532,1858
1241,3081,2956,652,1937,801,1378,2201,2525,925,2340,1162,751,90,1153
210,253,136,0,318,26,148,320,181,390,295,125,299,0,535
1592,788,3567,159,2792,1000,1455,1033,2813,1958,782,520,822,304,1453
25705,23856,14120,2712,15922,6935,16794,20841,15387,16656,6059,9901,5449,2572,8467
154,211,77,30,441,204,356,354,365,205,288,204,192,185,401
370,182,873,52,607,231,592,88,910,583,700,392,283,55,341
2216,2673,1560,362,2145,833,1384,2142,1185,4420,1471,1223,687,0,893
2467,2137,1359,179,2323,592,769,1367,1623,2194,1030,1132,720,142,526
1057,615,0,0,2585,0,592,1109,3194,0,1954,955,1038,0,1904
43,54,8,0,124,0,88,56,0,71,44,207,0,0,0
102,0,85,12,0,127,23,0,0,27,38,98,0,0,0
1554,920,458,2874,544,969,1801,465,749,443,741,715,197,2198,758
2434,1627,1741,201,1453,550,2010,1983,788,1936,1006,1128,495,262,1145
47,55,166,60,332,76,87,21,48,53,42,15,4,25,46
2819,5570,1686,398,2274,280,2918,5507,1316,4647,2496,578,1117,88,2487
61,77,63,27,55,15,59,106,31,122,94,90,38,19,0
159,189,81,48,431,21,92,262,83,406,193,102,63,0,241
639,1143,403,87,570,161,453,1704,223,895,831,21,395,127,709
4687,9790,2869,967,3182,534,4118,9516,1988,6386,3668,665,2628,1276,5603
1458,1027,1594,0,1378,149,456,1279,1220,1350,657,336,630,0,835
93,104,95,19,154,0,95,217,115,45,38,236,61,0,0
162,80,0,0,0,0,70,89,47,0,64,0,64,0,88
131,138,0,0,58,82,320,65,48,82,43,0,94,48,0
71,72,69,7,22,26,36,58,24,95,26,36,34,12,40
515,189,153,0,35,357,1395,217,123,380,221,67,228,178,25
76,115,0,0,57,0,21,36,0,0,174,0,68,0,52
22,48,8,0,58,30,0,43,0,25,122,0,18,0,16
4663,2308,2303,279,8169,1274,2247,5548,12833,3907,4802,6205,2615,172,5304
2821,1323,770,38,2648,745,1729,4472,1772,1532,1429,1389,863,0,1358
119393,83418,87400,30770,95504,42511,87450,107635,77745,229010,73598,145503,34442,27874,79545
437,891,271,175,1382,112,371,269,421,951,698,1013,93,62,294
233,404,334,0,355,147,245,262,243,216,218,521,152,0,168
263,235,165,356,281,241,120,300,489,478,264,91,85,53,143
427,243,226,27,1284,159,620,1120,1298,851,703,924,283,122,502
195,188,88,0,33,42,229,298,124,221,98,139,153,0,0
171,178,79,0,82,15,62,93,75,167,48,50,59,0,66
195,19,21,0,0,0,7,45,28,14,12,20,0,0,0
0,45,6,0,0,33,26,19,0,0,86,35,44,0,0
2520,613,550,163,631,290,722,599,568,528,813,431,206,200,537
875,60,216,0,0,176,304,77,53,426,29,59,37,0,253
81,100,38,37,0,73,196,48,0,0,200,0,27,42,0
